food,Dietary Fiber,Cholesterol
egg mcmuffin mcdonalds,1.4,207.9
nachos taco bell,3.8,4
biscuit large mcdonalds,1.8,0
crispy chicken strips kentucky fried chicken,0.7,24
hotcakes mcdonalds,0.7,6.4
chicken crispy breast kentucky fried chicken,0,106.4
hotcakes sausage mcdonalds,2.1,50.2
chicken mcnuggets mcdonalds,0,7
chips chipotle,0,0
biscuit mcdonalds,1.5,0
rice bowl with chicken,0.2,4.5
spaghetti with meatballs,5.4,14
meat ravioli canned,4.2,13.1
cheese ravioli canned,3.1,7.3
premium crispy chicken ranch blt sandwich mcdonalds,3.4,72
steak sandwich,0,73.4
cheeseburger burger king,3.7,59.9
cheeseburger mcdonalds,1.3,41.7
double cheeseburger,2.1,114
double hamburger,5.2,172
premium grilled chicken classic sandwich mcdonalds,2.8,68
big n tasty with cheese mcdonalds,3.2,91.4
premium grilled chicken club sandwich mcdonalds,2.7,102.6
quarter pounder mcdonalds,2.7,66.7
premium crispy chicken classic sandwich mcdonalds,3.2,59.8
veggie burger,3.4,3.5
quarter pounder with cheese mcdonalds,2.8,93.5
beef sandwich steak raw,0,39.8
cheeseburger,1.6,41.4
premium grilled chicken ranch blt sandwich mcdonalds,2.8,76.8
double whopper with cheese burger king,6.4,187.5
big mac mcdonalds,3.5,78.8
sandwich with cold cuts,4.7,105.6
filet o fish mcdonalds,1.9,42.9
hand breaded chicken tenders carls jr,0,0
grilled chicken sandwich wendys,0,0
sandwich with roast beef,0,73.4
hamburger burger king,2,34.7
big n tasty mcdonalds,3.2,76.6
roast beef sandwich,1.9,44.7
roast beef sandwich with cheese,0,77.4
hamburger,1.7,28.1
premium fish sandwich burger king,2,68.2
whopper burger king,3.2,113.8
sandwich with tuna salad,0,48.6
original chicken sandwich burger king,4.8,61.7
double whopper burger king,5.2,172
premium crispy chicken club sandwich mcdonalds,3,96.5
hamburger mcdonalds,1.2,25.7
pepperoni pizza dominos,2.4,28.3
sausage pizza,2.7,26.7
pepperoni pizza,2.6,27.8
pepperoni pizza pizza hut,1.6,25
cheese pizza pizza hut,1.7,23
cheese pizza,2.5,18.2
cheese pizza dominos,2.4,18.4
meat vegetable pizza,3,36.7
sucker raw,0,65.2
northern pike raw,0,154.4
haddock cooked,0,99
burbot cooked,0,69.3
pollock cooked,0,274.8
rainbow smelt raw,0,19.8
whitefish cooked,0,118.6
walleye pike raw,0,136.7
carp cooked,0,142.8
wolffish cooked,0,140.4
snapper cooked,0,79.9
roe cooked,0,135.6
anchovy raw,0,17
herring raw,0,110.4
cod raw,0,99.3
tilapia raw,0,58
whiting cooked,0,60.5
skipjack tuna cooked,0,184.8
salmon cooked,0,224.3
chum salmon cooked,0,292.6
american shad cooked,0,138.2
shark cooked,0,16.7
trout cooked,0,45.9
swordfish raw,0,89.8
rainbow trout cooked,0,49.7
fish sandwich with cheese,0,49.6
jellyfish dried,0,2.9
mullet raw,0,58.3
halibut cooked,0,190.8
lingcod raw,0,130
orange roughy cooked,0,22.6
cisco raw,0,39.5
florida pompano cooked,0,56.3
snapper raw,0,80.7
fish sandwich,0,77
haddock raw,0,104.2
