food,Water
whiting cooked,53.8
skipjack tuna cooked,191.8
salmon cooked,230.5
chum salmon cooked,210.8
american shad cooked,85.3
shark cooked,17
trout cooked,39.3
swordfish raw,99.8
rainbow trout cooked,48.8
fish sandwich with cheese,61.3
jellyfish dried,39.4
mullet raw,91.6
halibut cooked,242.1
lingcod raw,202.6
orange roughy cooked,19
cisco raw,62.4
florida pompano cooked,55.4
snapper raw,167.6
fish sandwich,106.6
haddock raw,160.9
ocean perch raw,50.4
cuttlefish cooked,17.3
cod cooked,136.7
seatrout raw,185.9
flounder raw,137.9
spot cooked,34.6
walleye pike cooked,91.1
perch raw,47.5
pumpkin seed sunfish raw,38.2
salt mackerel,58.5
mackerel cooked,46.9
tilapia cooked,62.3
drum raw,153.1
atlantic croaker fried,52
pumpkin seed sunfish cooked,27.3
wolffish raw,244.5
bluefin tuna cooked,88.6
scup cooked,34.2
herring cooked,91.7
bluefish raw,106.3
sheepshead cooked,128.4
bass cooked,42.6
pout cooked,208.5
chinook salmon raw,283.7
rockfish raw,151
tilefish raw,304.6
scup raw,125.1
sablefish cooked,189.8
tuna salad,129.5
coho salmon cooked,95.8
roe raw,9.5
sea bass raw,101
pink salmon cooked,161.1
sockeye salmon cooked,208.7
whitefish raw,144.1
greenland halibut cooked,196.8
northern pike cooked,226.2
salmon raw,257
turbot cooked,224
surimi,21.6
chinook salmon cooked,202
mullet cooked,65.6
chum salmon raw,2.1
butterfish raw,23.7
sea bass cooked,72.9
greenland halibut raw,286.7
halibut raw,327.8
sturgeon cooked,95.1
fish fillet fried,48.7
rainbow trout raw,58.3
pout raw,286.4
rainbow smelt cooked,20.6
monkfish raw,23.6
trout raw,56.4
shark raw,20.8
burbot raw,91.9
dolphinfish cooked,113.2
crayfish cooked,22.9
dolphinfish raw,158.2
perch cooked,33.7
cusk raw,93.1
bluefin tuna raw,19.3
milkfish cooked,17.7
carp raw,166.4
sturgeon raw,21.7
orange roughy raw,21.4
catfish fried,51.2
cuttlefish raw,22.8
bass raw,59.8
flounder cooked,103
milkfish raw,20.1
eel raw,139.3
catfish raw,125.7
fish sticks,13.9
coho salmon raw,112
monkfish cooked,22.2
yellowtail cooked,196.6
yellowfin tuna cooked,19.5
ling cooked,111.6
eel cooked,16.8
sablefish raw,274.1
salmon nuggets,17.1
yellowtail raw,278.7
butterfish cooked,16.7
caviar,7.6
pollock raw,301.8
catfish cooked,106.7
whiting raw,73.8
pink salmon raw,240.2
yellowfin tuna raw,21
mackerel raw,71.2
turbot raw,314
cusk cooked,66.2
atlantic croaker raw,61.6
sucker cooked,91.7
spot raw,48.6
drum cooked,109.2
crayfish raw,3.4
tilefish cooked,210.7
bluefish cooked,73.3
grouper cooked,148.2
sheepshead raw,185.6
herring kippered,23.9
grouper raw,205.2
ocean perch cooked,37.1
ling raw,153.7
lingcod cooked,228.6
florida pompano raw,79.7
rockfish cooked,111.3
seatrout cooked,133.8
sockeye salmon raw,289.7
swordfish cooked,72.4
american shad raw,125.5
sardine canned in oil,88.8
anchovy canned in oil,2
salmon canned,261.1
sardines in tomato sauce canned,59.5
sockeye salmon canned,229.4
tuna canned,58.6
pink salmon canned,304.3
cod canned,235.9
eastern oyster canned,137.9
chum salmon canned,261.1
tuna canned in oil,114
wild pink salmon oceans,0
shrimp canned,97.1
alaska king crab raw,136.9
scallops fried,11.5
shrimp cooked,3.9
clams fried,5.8
alaska king crab cooked,103.9
scallops cooked,7
squid fried,51.6
oyster raw,41
abalone,63.4
queen crab raw,22.8
whelk cooked,9.1
oyster cooked,16
eastern oyster cooked,8
blue mussels cooked,122.3
octopus raw,22.7
spiny lobster cooked,108.8
blue mussels raw,120.9
queen crab cooked,63.8
dungeness crab cooked,93.1
dungeness crab raw,129.1
shrimp fried,7.2
shrimp raw,4.2
blue crab cooked,67.7
shrimp imitation,21.2
conch baked,88.1
squid raw,22.2
scallop raw,12.4
lobster raw,121.4
scallop imitation,20.9
blue crab raw,16.6
whelk raw,18.7
spiny lobster raw,154.8
clams canned,104.4
lobster cooked,117.2
eastern oyster fried,9.4
clams raw,179.3
octopus cooked,51.4
eastern oyster raw,12.1
oyster fried,11.1
sturgeon smoked,17.7
chinook salmon smoked,97.9
cisco smoked,19.8
haddock smoked,20.2
whitefish smoked,96.3
red salmon sockeye filets smoked,25.8
eggnog,209.7
beer light,313.1
beer budweiser,27.4
weizenbier erdinger,0
beer light budweiser,28
beer,303.5
root beer,440.2
whiskey sour mix,23.1
whiskey sour,77
tequila sunrise,166.3
daiquiri,41.8
pina colada,91.6
whiskey,14.7
rum,14
vodka smirnoff,0
coffee liqueur,9.1
gin,12.4
dessert wine sweet,72.6
chenin blanc white wine,128.4
gamay red wine,0
late harvest white wine,0
gewurztraminer white wine,127.9
burgundy red wine,171.2
zinfandel red wine,126
muller thurgau white wine,0
mouvedre red wine,0
table wine,128.1
wine light,136.5
white wine,127.7
petite sirah red wine,0
non alcoholic wine,29
pinot noir red wine,127.8
pinot gris grigio white wine,127.9
riesling white wine,128.1
barbera red wine,172.6
lemberger red wine,0
merlot red wine,127.3
sangiovese red wine,126.7
sauvignon blanc white wine,128.1
syrah red wine,127.2
carignane red wine,439.4
pinot blanc white wine,128.1
semillon white wine,0
dessert wine dry,0.062
red wine,127.1
cabernet sauvignon red wine,173.1
muscat white wine,128.5
cooking wine,4.4
chardonnay white wine,173.7
claret red wine,0
rice sake,115.2
fume blanc white wine,0
cabarnet franc red wine,127.3
chocolate frosting,3.5
white sugar,0.021
egg substitute,208.8
agave syrup,1.6
splenda sweetener,8.8
vanilla extract,2.2
egg yolk dried,0.1
granulated sugar,0.055
baking chocolate,0.4
bakers yeast,11.7
fondant,1.9
brown sugar,0.087
white frosting dry,3.9
maple sugar,1
fructose sweetener,0
saccharin sweetener,8.8
egg white raw,28.9
