food,Nutrition Density
jalapeno peppers canned,60
pumpkin canned,107.7
peas onions canned,42.5
sweet mashed potato canned,162.1
hominy canned,49
tomato puree canned,32.936
dried tomatoes canned in oil,6.037
mixed vegetables canned,31.4
straw mushrooms canned,0.771
capers canned,4.856
red peppers canned,60.443
carrots canned,36.875
tomatoes in tomato juice canned,113.2
asparagus canned,154.4
sweet red peppers canned,132.3
onions canned,34.925
turnip greens canned,202.7
hearts of palm,26
spinach canned,245.8
sweet potato canned,324.9
corn canned,14.834
peas carrots canned,36.729
crookneck squash canned,42.9
tomatoes canned,134.6
pimento canned,193.8
sweet green peppers canned,132.3
peas canned,13.89
chili peppers canned,109.5
green peppers canned,60.468
grape leaves canned,93.7
sauerkraut canned,12.078
beets canned,61.8
stewed tomatoes canned,21.684
tomato paste canned,232.2
bacon ranch salad mcdonalds,250.3
caesar salad with grilled chicken mcdonalds,271.9
caesar salad mcdonalds,238.2
vegetable salad,56.916
vegetable salad with chicken,52.69
potato salad,132.547
taco salad taco bell,696.9
iceberg lettuce,3.064
cornsalad,3.593
potato salad with egg,113.038
side salad mcdonalds,41.4
caesar salad with crispy chicken mcdonalds,285.9
grape apple salad with walnuts,119.357
vegetable salad with cheese egg,86.317
celtuce,5.255
arugula,36.9
vegetable salad with shrimp,61.8
coleslaw,53.118
shiitake mushrooms cooked,3.573
shiitake mushrooms raw,2.788
crimini mushrooms,0.681
mushrooms raw,9.4
portabella mushrooms grilled,13.4
maitake mushrooms,0.374
shiitake mushrooms dried,4.01
chanterelle mushrooms,0.757
cloud ear fungus dried,88.9
mushrooms cooked,16.7
pepeao dried,22.1
truffles,29.59
jews ear,24.249
enoki mushrooms,0.433
morel mushrooms,1.727
portabella mushrooms raw,9.4
oyster mushroom,1.804
