food,Nutrition Density
scup cooked,39.718
herring cooked,158.304
bluefish raw,47.9
sheepshead cooked,121.48
bass cooked,84.379
pout cooked,98.207
chinook salmon raw,240.5
rockfish raw,65.002
tilefish raw,177.901
scup raw,103.111
sablefish cooked,252.4
tuna salad,112.727
coho salmon cooked,66.478
roe raw,9.553
sea bass raw,39.739
pink salmon cooked,69.873
sockeye salmon cooked,102.315
whitefish raw,101.603
greenland halibut cooked,130.404
northern pike cooked,319.506
salmon raw,186.3
turbot cooked,157.453
surimi,9.072
chinook salmon cooked,222.5
mullet cooked,58.866
chum salmon raw,1.025
butterfish raw,15.332
sea bass cooked,40.067
greenland halibut raw,130.06
halibut raw,110.481
sturgeon cooked,59.9
fish fillet fried,58.716
rainbow trout raw,43.047
pout raw,98.078
rainbow smelt cooked,29.428
monkfish raw,7.21
trout raw,57.297
shark raw,17.064
burbot raw,82.309
dolphinfish cooked,71.625
crayfish cooked,20.222
dolphinfish raw,72.1
perch cooked,60.112
cusk raw,37.228
bluefin tuna raw,10.8
milkfish cooked,28.341
carp raw,146.793
sturgeon raw,9.612
orange roughy raw,7.672
catfish fried,74.4
cuttlefish raw,33.734
bass raw,83.837
flounder cooked,22.622
milkfish raw,22.203
eel raw,109
catfish raw,46.7
fish sticks,14.563
coho salmon raw,67.308
monkfish cooked,9.165
yellowtail cooked,201.282
yellowfin tuna cooked,9.861
ling cooked,105.731
eel cooked,19.3
sablefish raw,251.3
salmon nuggets,13.6
yellowtail raw,204.5
butterfish cooked,15.35
caviar,53.325
pollock raw,312.275
catfish cooked,37.141
whiting raw,62.592
pink salmon raw,102.8
yellowfin tuna raw,8.322
mackerel raw,52.063
turbot raw,159.322
cusk cooked,37.306
atlantic croaker raw,28.709
sucker cooked,144.006
spot raw,24.113
drum cooked,166.292
crayfish raw,1.788
tilefish cooked,166.521
bluefish cooked,47.9
grouper cooked,97.6
sheepshead raw,104.93
herring kippered,49.314
grouper raw,125.1
ocean perch cooked,10.368
ling raw,104.862
lingcod cooked,128.139
florida pompano raw,56.69
rockfish cooked,35.955
seatrout cooked,90.142
sockeye salmon raw,148.1
swordfish cooked,34.203
american shad raw,144.868
sardine canned in oil,627.452
anchovy canned in oil,11.106
salmon canned,1020.882
sardines in tomato sauce canned,244.978
sockeye salmon canned,888.6
tuna canned,33.32
pink salmon canned,987.651
cod canned,143.814
eastern oyster canned,113.7
chum salmon canned,1020.805
tuna canned in oil,69.953
wild pink salmon oceans,16
shrimp canned,221.3
alaska king crab raw,124.608
scallops fried,15.698
shrimp cooked,6.398
clams fried,11.464
alaska king crab cooked,118.35
scallops cooked,2.732
squid fried,62.028
oyster raw,19.054
abalone,51.092
queen crab raw,15.607
whelk cooked,54.806
oyster cooked,17.971
eastern oyster cooked,8.598
blue mussels cooked,178.2
octopus raw,23.044
spiny lobster cooked,159.731
blue mussels raw,83.72
queen crab cooked,58.197
dungeness crab cooked,111.171
dungeness crab raw,112.564
shrimp fried,14.433
shrimp raw,3.712
blue crab cooked,16.719
shrimp imitation,12.119
conch baked,163.446
squid raw,16.386
scallop raw,3.417
lobster raw,152.362
scallop imitation,9.105
blue crab raw,23.615
whelk raw,27.678
spiny lobster raw,160.501
clams canned,159.2
lobster cooked,32.314
eastern oyster fried,15.5
clams raw,136
octopus cooked,135.853
eastern oyster raw,9.448
oyster fried,17.861
sturgeon smoked,15.175
chinook salmon smoked,47.038
cisco smoked,15.576
haddock smoked,21.719
whitefish smoked,58.398
red salmon sockeye filets smoked,141.587
eggnog,377.2
beer light,19.456
beer budweiser,2.2
weizenbier erdinger,18
beer light budweiser,1.32
beer,26.436
root beer,52.334
whiskey sour mix,7.914
whiskey sour,16.717
tequila sunrise,65.357
daiquiri,7.243
pina colada,35.877
whiskey,0.127
rum,0.049
vodka smirnoff,2.4
coffee liqueur,14.241
gin,0
dessert wine sweet,22.7
chenin blanc white wine,5
gamay red wine,146.6
late harvest white wine,153.6
gewurztraminer white wine,3.9
burgundy red wine,7.5
zinfandel red wine,4.3
muller thurgau white wine,147.8
mouvedre red wine,146.6
table wine,16.4
wine light,15.7
white wine,17.5
petite sirah red wine,146.4
non alcoholic wine,3.2
pinot noir red wine,3.5
pinot gris grigio white wine,3.1
riesling white wine,5.6
barbera red wine,5.7
lemberger red wine,146.6
merlot red wine,16.3
sangiovese red wine,4
sauvignon blanc white wine,3.1
syrah red wine,3.9
carignane red wine,12.4
pinot blanc white wine,3
semillon white wine,147.7
dessert wine dry,498.8
red wine,16.4
cabernet sauvignon red wine,5.3
muscat white wine,7.9
cooking wine,0.879
chardonnay white wine,22.9
claret red wine,146.5
rice sake,15.6
fume blanc white wine,146.7
cabarnet franc red wine,3.7
chocolate frosting,18.9
white sugar,5.037
egg substitute,210
agave syrup,5.456
splenda sweetener,91.2
vanilla extract,1.213
egg yolk dried,16.368
granulated sugar,4.253
baking chocolate,66.7
bakers yeast,10.078
fondant,27.396
brown sugar,7.622
white frosting dry,209.7
maple sugar,21.961
fructose sweetener,4.274
saccharin sweetener,90.082
egg white raw,6.196
turbinado sugar,5.24
vanilla frosting,403.3
aspartame sweetener,91.381
egg raw,45.156
pineapple topping,259.1
egg white dried,12.343
egg yolk raw,30.27
baking soda,0
egg dried,16.62
strawberry topping,18.34
bakers yeast dry,5.927
almond paste,597
cream of tartar,2.138
popover dry mix,205.3
egg substitute powder,119.1
gelatin powder,7.255
tapioca pearls,169.318
baking powder,272.196
egg boiled,45.338
millet flour,130.4
triticale flour,182.5
corn flour white,267.4
rice flour brown,164.4
sorghum flour,133.3
cornmeal whole grain,128.5
cornmeal white,151.1
barley flour,194.5
safflower seed meal,47.8
sesame flour,336
whole grain wheat flour,163.2
corn flour yellow,122
corn flour whole grain,122
cottonseed flour low fat,163.1
sunflower seed flour,8.557
sesame meal,73.2
acorn flour,170.7
rice flour white,158.4
sesame flour low fat,70.9
potato flour,155.4
cornmeal yellow,151.1
rye flour,112
arrowroot flour,169.3
chickpea flour,135.8
wheat flour,137.5
cornstarch,121.535
carob flour,29.18
buckwheat flour,169.6
pecan pie,137.891
apple pie,77.358
vanilla wafer pie crust,236.2
chocolate pie crust,240.2
apple strudel,53.359
chocolate snack cake,102.459
fruit fried pie,113.776
pumpkin pie,212.686
corn cake,10.437
sponge snack cake,44.404
danish pastry with nuts,115.451
chocolate cream pie,93.8
angel food cake,57.8
lemon meringue pie,91.632
danish pastry with cinnamon,109.897
cinnamon coffeecake,77.089
cheesecake,84.8
fruitcake,48.507
egg custard,360.9
mince pie,154.1
yellow cake with chocolate frosting,161.1
danish pastry with fruit,90.454
white cake with coconut frosting,190.574
danish pastry with cheese,133.666
graham cracker pie crust,233.8
blueberry pie,83.8
yellow cake with vanilla frosting,89.788
pie crust,23.8
chocolate cake with chocolate frosting,154.164
cheese coffeecake,96.831
vanilla cream pie,181.4
pineapple cake,218.024
peach pie,64.447
fruit coffeecake,58.9
pound cake,33.47
pound cake bread,69.1
white cake,153.59
coffeecake with chocolate frosting,99.233
popcorn cake,10.7
banana cream pie,1533.5
baked apple pie mcdonalds,33.3
sponge cake,71.264
yellow cake,150.51
shortcake,78.182
cherry pie,119.444
dutch apple pie,110.281
chocolate cake,130.2
marshmallow,17.445
sugar apple,23.644
toffee,12.023
vanilla fudge with nuts,39.577
peanuts chocolate coated,8.305
caramel with nuts chocolate coated,24.683
gingerbread,106.123
rolo nestle,1.234
vanilla fudge,35.944
halavah,95.618
praline,53.4
fruit juice bar,28.671
peanut brittle,36.343
butterscotch,5.351
chocolate coffee beans,77.127
nougat with almonds,18.658
carob,25.013
peanut butter fudge,21.055
sugar coated almonds,6.936
chocolate coated marshmallow,39.096
raisins chocolate coated,178.329
chewing gum sugarless,2.378
chewing gum,2.973
chocolate syrup,33.955
chocolate fudge syrup,24.726
m ms milk chocolate mars,86.651
milk chocolate with almonds,134.811
chocolate fudge,24.119
milk chocolate with rice cereal,0
m ms peanut chocolate mars,36.623
dark chocolate,31.848
chocolate semisweet,233.9
after eight mints nestle,9.163
milk chocolate,20.464
white chocolate,89.212
chocolate,53.6
twix mars,27.86
kit kat nestle,11.843
snickers mars,54.826
milky way mars,54.438
clif bar,378.2
gum drops,4.418
skittles wild berry mars,100.6
skittles original mars,100.5
skittles tropical mars,100.7
fruit leather,33.811
taffy,14.358
eisbonbons mac iver,0
caramels,23.208
hard candy,6.182
jellybeans,1.216
jellies,16.779
wheat germ toasted,49.3
crispy brown rice,42.6
bran flakes asda,0.8
amaranth cooked,185.2
triticale,243.5
barley raw,16.3
bulgur dry,72.6
cottonseed kernels roasted,313.9
rice bran,213
chaptti roti indian bread,9.551
quinoa cooked,90.6
dar vida swiss original,3.6
teff cooked,197.2
couscous dry,209.3
weetabix weetabix,11.5
oat bran cooked,63.5
buckwheat cooked,57.8
millet puffed,23.1
oat bran raw,65.9
popcorn oil popped,12.109
kamut cooked,92.5
wheat bran,122.1
cheese popcorn,24.284
raisin bran crunch kelloggs,23.6
couscous cooked,58.2
multigrain cheerios general mills,1.248
bulgur cooked,67.9
popcorn air popped,9.7
teff raw,548.9
spelt cooked,93.8
millet raw,215.1
popcorn unpopped,31.1
whole wheat cooked,61.3
wheat sprouted,91.9
whole wheat dry,39.6
caramel popcorn,41.396
wheat puffed,19.2
roggenmischbrot sonnenblumenkerne aldi,3.1
wheat germ,44.4
microwave popcorn,93.352
millet cooked,57.6
kamut raw,180.788
wheat durum,239.7
sorghum,245.6
white wheat,264.3
rye,219
spelt raw,225
buckwheat raw,14.3
honey cereali general mills,5
barley cooked,73.9
oats,16
amaranth raw,26.4
semolina,186.8
quinoa dry,85.7
wheat shredded,76.9
cattail,12.7
peanut granola bar,34.218
vanilla bluberry bar kind,2.3
coconut granola bar,40.5
almond granola bar,32.3
chocolate chip granola bar,43.38
fruit granola bar,24.1
granola bar,34.5
peanut bar,71.9
milk cereal bar,130.334
almond rice bar,52.5
fruit nut squares,14.762
rice wheat cereal bar,27.8
crisped rice bar,33.9
brown rice raw,214.8
rice pilaf cooked,149.399
beef flavored rice raw,227.9
wild rice cooked,51
wild rice raw,191.7
congee with pork shrimp and squid plus egg,0.3
white rice pasta cooked,77.7
chicken flavored rice raw,184.3
instant white rice raw,115.2
rice crisps,43.9
parboiled white rice raw,306.3
instant white rice cooked,62.9
rice pilaf raw,356.56
rice cracker cake,30.9
parboiled white rice cooked,80.7
white rice steamed,57.6
brown rice cake,9.8
glutinous white rice raw,193.3
white rice pasta raw,224.6
glutinous white rice cooked,45.9
brown rice cooked,75.9
beef flavored rice cooked,97.7
white rice cooked,67.5
chicken flavored rice cooked,89.138
white rice raw,224.5
cheese imitation,863.2
cheshire cheese,198.767
monterey cheese,906.7
edam cheese,235.628
fontina cheese,657.4
monterey cheese low fat,854.8
colby cheese,841.3
american cheese,274.886
blue cheese,174.154
nectarine,20.735
kiwifruit gold,159.686
prickly pear raw,39.263
pineapple,13.97
rowan,176.4
muscadine grapes,3.38
heidelbeeren jutro,0.6
prunes stewed,157.8
tangerine,60.8
prunes,118.3
lemon peel,5.934
banana,41.084
raspberries,2.207
apricot,5.334
strawberry guava,4.931
kiwifruit green,13.588
figs,30.4
clementine,10.954
orange,28.073
bartlett pear,57.1
red white currants,106.1
blueberries,26.767
mulberries,2.163
java plum,1.624
prune puree,12.709
applesauce,30.923
blackberries raw,97
plum,9.21
american grapes,0.93
peach,18.643
honeydew melon,61.5
yellow plantain fried,100.5
rose hips,838.4
lemons,53.9
lime,51.6
pomegranate,36.33
gooseberries,24.2
asian pear,27.8
abiyuch,201
horned melon kiwano,62.8
fruit walnut salad mcdonalds,618
grapefruit,16.592
japanese persimmon,38.927
wild raspberries,111.6
pink lady apple,4.1
maraschino cherries,5.19
black currants,285.3
plantain cooked,73.8
crab apple,51.6
pom potes materne,0.4
apple,30.438
cantaloupe melon,17.939
prickly pear cooked,2.226
guava,12.956
strawberries,10.261
japanese persimmon dried,39.4
watermelon,25.025
elderberries,148.2
kumquat,4.882
orange peel,20.111
pokeberry shoots cooked,236.9
breadfruit,73.872
pear,57.4
sour cherries,15.607
plantain raw,102.4
blackberries frozen,83.4
cherries,1.715
