food,Protein
baking soda,0
egg dried,2.4
strawberry topping,0.014
bakers yeast dry,1.6
almond paste,20.4
cream of tartar,0
popover dry mix,17.7
egg substitute powder,15.7
gelatin powder,4.3
tapioca pearls,0.3
baking powder,0
egg boiled,7.5
millet flour,12.8
triticale flour,17.1
corn flour white,9.6
rice flour brown,11.4
sorghum flour,9.5
cornmeal whole grain,9.9
cornmeal white,11.2
barley flour,15.5
safflower seed meal,10.1
sesame flour,38.5
whole grain wheat flour,15.9
corn flour yellow,8.1
corn flour whole grain,8.1
cottonseed flour low fat,14.1
sunflower seed flour,1.9
sesame meal,4.8
acorn flour,9.4
rice flour white,9.4
sesame flour low fat,14.2
potato flour,11
cornmeal yellow,11.2
rye flour,10
arrowroot flour,0.4
chickpea flour,20.6
wheat flour,12.9
cornstarch,0.3
carob flour,0.3
buckwheat flour,15.1
pecan pie,6
apple pie,3
vanilla wafer pie crust,6.5
chocolate pie crust,11.1
apple strudel,2.3
chocolate snack cake,1.8
fruit fried pie,3.8
pumpkin pie,7
corn cake,0.7
sponge snack cake,1.5
danish pastry with nuts,4.6
chocolate cream pie,2.6
angel food cake,1.7
lemon meringue pie,4.8
danish pastry with cinnamon,4.8
cinnamon coffeecake,3.9
cheesecake,4.4
fruitcake,1.2
egg custard,14.2
mince pie,4.3
yellow cake with chocolate frosting,4.6
danish pastry with fruit,4.8
white cake with coconut frosting,4.9
danish pastry with cheese,5.8
graham cracker pie crust,9.3
blueberry pie,4
yellow cake with vanilla frosting,2.2
pie crust,1.5
chocolate cake with chocolate frosting,4.8
cheese coffeecake,5.3
vanilla cream pie,6
pineapple cake,4
peach pie,2.2
fruit coffeecake,2.6
pound cake,1.7
pound cake bread,3.9
white cake,4
coffeecake with chocolate frosting,4.5
popcorn cake,1
banana cream pie,52.2
baked apple pie mcdonalds,0.9
sponge cake,4.6
yellow cake,3.6
shortcake,1.7
cherry pie,5
dutch apple pie,3
chocolate cake,5
marshmallow,0.4
sugar apple,1.6
toffee,0.1
vanilla fudge with nuts,0.8
peanuts chocolate coated,0.5
caramel with nuts chocolate coated,1.3
gingerbread,2.9
rolo nestle,0.009
vanilla fudge,0.3
halavah,8.7
praline,1.3
fruit juice bar,0.9
peanut brittle,2.1
butterscotch,0.079
chocolate coffee beans,2.1
nougat with almonds,0.5
carob,2
peanut butter fudge,0.6
sugar coated almonds,0.4
chocolate coated marshmallow,1.1
raisins chocolate coated,4.1
chewing gum sugarless,0
chewing gum,0
chocolate syrup,0.8
chocolate fudge syrup,0.9
m ms milk chocolate mars,1.8
milk chocolate with almonds,3.7
chocolate fudge,0.4
milk chocolate with rice cereal,0
m ms peanut chocolate mars,1.7
dark chocolate,1.5
chocolate semisweet,7.1
after eight mints nestle,0.1
milk chocolate,0.5
white chocolate,1.8
chocolate,1.6
twix mars,1.4
kit kat nestle,0.7
snickers mars,4.3
milky way mars,2.3
clif bar,10
gum drops,0
skittles wild berry mars,0.1
skittles original mars,0.1
skittles tropical mars,0.1
fruit leather,0.029
taffy,0.087
