food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
margarine spread,0.019,0.6,0.045,0.078,0.1,0,0.6,5,0,0.054
lard vegetable oil,0,0,0,0,0,0,0,0,0,0
shortening,0,0,0,0,0,0,0,0,0,0
vegetable oil spread,0.081,2.9,0,0,0.3,0,2.2,4.2,0,0
cottonseed oil,0,0,0,0,0,0,0,0,0,0
vegetable oil spread fat free,0.1,5.7,0.052,0.041,0.6,0,4.5,7.5,0,0.044
soy margarine,0.1,0,0,0,0,0,0,0,0,0
margarine with salt,0.1,0.068,0.4,0,0.059,0.4,0,0.7,2.5,0
margarine,0.091,0.059,0.4,0,0.073,0.4,0,0.7,2.6,0
salmon fish oil,0,0,0,0,0,0,0,0,0,0
nutmeg butter oil,0,0,0,0,0,0,0,0,0,0
almond butter,0.037,55.5,0.1,0.6,44.6,0.3,81.3,119.7,0.054,0.5
sour cream shoprite,0,0,0,0,0,0,0,0,0,0
ucuhuba butter oil,0,0,0,0,0,0,0,0,0,0
chicken fat,0,0,0,0,0,0,0,0,0.068,0
herring fish oil,0,0,0,0,0,0,0,0,0,0
bacon grease,0.009,0,0,0,0,0,0,0,0,0.031
turkey fat,0,0,0,0,0,0,0,0,0.083,0
beef tallow,0,0,0,0,0,0,0,0,0.015,0
goose fat,0,0,0,0,0,0,0,0,0.098,0
duck fat,0,0,0,0,0,0,0,0,0.041,0
mutton tallow,0,0,0,0,0,0,0,0,0.057,0
grapeseed oil,0,0,0,0,0,0,0,0,0,0
sheanut oil,0,0,0,0,0,0,0,0,0,0
almond oil,0,0,0,0,0,0,0,0,0,0
sunflower oil,0,0.1,0,0,0.06,0,0,0,0,0
cashew butter,0.071,6.9,0.4,0.8,41.3,0.1,73.1,87.4,0.056,0.8
canola oil,0,0.088,0,0,0,0,0,0,0,0
babassu oil,0,0,0,0,0,0,0,0,0,0
teaseed oil,0,0,0,0,0,0,0,0,0,0
avocado oil,0,0,0,0,0,0,0,0,0,0
vegetable palm kernel oil,0,0,0,0,0,0,0,0,0,0
coconut oil,0,0.029,0,0,0.013,0,0,0,0,0
safflower oil,0,0,0,0,0,0,0,0,0,0
vegetable oil,0,0.073,0,0,0.083,0,0,0,0,0
apricot kernel oil,0,0,0,0,0,0,0,0,0,0
peanut oil,0,0,0,0.004,0,0,0,0,0,0.056
poppyseed oil,0,0,0,0,0,0,0,0,0,0
flaxseed oil,0,0.1,0,0,0,0,0.1,0,0,0.086
tomatoseed oil,0,0,0,0,0,0,0,0,0,0
wheat germ oil,0,0,0,0,0,0,0,0,0,0
sesame oil,0,0,0,0,0,0,0,0,0,0
corn granola oil,0,0,0,0,0,0,0,0,0,0
cocoa butter oil,0,0,0,0,0,0,0,0,0,0
olive oil,0.004,0.1,0,0.092,0,0,0,0.1,0,0
palm kernel oil,0.098,0.033,0.04,0,0.071,0,0,0,0.061,0
mustard oil,0,0,0,0,0,0,0,0,0,0
rice bran oil,0,0,0,0.001,0,0,0,0,0,0
vegetable macaroni dry,0.06,28.6,0.2,3.6,38.6,3.2,97.4,239.4,0,0.6
chow mein noodles,0.5,11.2,0.028,2.6,29.1,0,90.2,67.2,0.086,0.8
chinese noodles,0.088,0,32.5,0.1,2.8,3.9,0.1,41.6,13,0.044
vegetable macaroni cooked,0.015,14.7,0.1,0.7,25.5,1.3,67,41.5,0.082,0.6
corn pasta dry,0.027,4.2,0.2,1,125,0.5,265.7,308.7,0.09,1.9
egg noodles dry,0.095,13.3,0.1,0.7,22,0.3,91.6,92.7,0.016,0.7
whole wheat spaghetti dry,0.002,11.3,0.1,1,40.5,0.9,73,60.8,0.022,0.7
japanese soba noodles dry,0.2,9.9,0.035,0.8,26.9,0.4,71.9,71.3,0,0.5
rice noodles dry,0.006,5.1,0.079,0.2,3.4,0.1,43.3,8.5,0.053,0.2
spinach spaghetti dry,0.094,16.4,0.1,0.6,49.2,0.7,94,106.4,0.068,0.8
egg noodles cooked,0.027,0,9.6,0.051,1.2,16.8,0.3,60.8,30.4,0.066
japanese somen noodles cooked,0.3,14.1,0.082,0.9,3.5,0.4,47.5,51,0,0.4
whole wheat macaroni dry,0.028,42,0.5,3.8,150.2,3.2,270.9,225.8,0,2.5
pasta marinara and ground beef sauce,0,0,0,0,0,0,0,0,0,0
macaroni raw,0.097,22.1,0.3,3.5,55.7,1,198.5,234.2,0.073,1.5
spaghetti dry,0.09,5.9,0.047,0.9,15,0.3,53.5,63.1,0.011,0.4
fusilli cucina,0,0,0,0,0,0,0,0,0,0
japanese somen noodles dry,0.5,6.5,0.052,0.4,7.9,0.1,22.6,46.4,0,0.1
pasta cooked,0.073,13.8,0.2,2.6,41.4,0.5,144.9,55.2,0,1.3
macaroni cooked,0.071,0,9.8,0.1,1.8,25.2,0.5,81.2,61.6,0.029
spinach egg noodles dry,0.096,21.3,0.025,1.6,31.2,0.4,73.3,134.9,0,0.7
japanese soba noodles cooked,0.1,4.6,0.084,0.5,10.3,0.4,28.5,39.9,0,0.1
rice noodles cooked,0.075,7,0.045,0.2,5.3,0.2,35.2,7,0.076,0.4
whole wheat macaroni cooked,0.057,21,0.2,1.5,42,1.9,124.6,61.6,0.077,1.1
spaghetti cooked,0.089,0,16.1,0.2,2.9,41.4,0.7,133.4,101.2,0.016
whole wheat spaghetti cooked,0.091,21,0.2,1.5,42,1.9,124.6,61.6,0.028,1.1
waffle,0.4,191.3,0.024,1.7,14.3,0.2,142.5,119.3,0.068,0.5
baked taco shell,0.004,12.5,0.043,0.2,11.1,0.092,30.4,30.1,0.097,0.2
puff pastry,0.6,24.5,0.3,6.4,39.2,1.2,147,151.9,0.051,1.3
blueberry muffin,0.2,0.054,25.1,0.063,0.7,5.7,0.3,83.2,69,0.002
bread crumbs,0.8,197.6,0.3,5.2,46.4,1,178.2,211.7,0.079,1.6
warm cinnamon roll mcdonalds,0.1,16.1,0.083,0.5,5.4,0.1,29.4,39.6,0,0.2
corn muffin,0.3,48.8,0.2,1.9,21.1,0.2,187.4,45.5,0.041,0.4
tortilla,0.9,137.9,0.2,7.5,37.4,0.5,287.6,206.9,0.011,0.6
croutons seasoned,0.4,38.4,0.043,1.1,16.8,0.2,56,72.4,0.012,0.4
buttermilk waffle,0.2,98.7,0.072,2.2,7.3,0.054,146.5,45.5,0.008,0.2
flour tortilla,0.4,79.9,0.089,1.6,10.3,0.3,104.4,65.2,0.004,0.3
glazed donut,0.082,13.1,0.07,0.3,2.2,0.086,15.2,13.3,0.056,0.031
corn tortilla,0.075,19.4,0.036,0.3,17.3,0.066,75.4,44.6,0.056,0.3
muffin,0.3,114,0.042,1.4,9.7,0.2,87.2,69,0.023,0.3
croutons,0.035,6.1,0.068,0.3,2.5,0.093,9.2,9.9,0.026,0.093
donut with jelly filling,0.4,21.3,0.1,1.5,17,0.2,72.3,67.2,0.009,0.6
sweet cinnamon rolls,0.3,59.8,0.034,1.3,14.1,0.2,63.1,92.1,0.085,0.5
oat bran muffin,0.067,10.7,0.082,0.7,26.7,0.4,63.9,86.2,0.035,0.3
french cruller donut,0.1,10.7,0.084,1,4.9,0.018,50.4,32,0.07,0.1
pancakes,0.2,83.2,0.049,0.7,6.1,0.06,60.4,50.2,0.03,0.2
chocolate donut,0.1,127.8,0.1,1.4,20.4,0.2,97.2,63.6,0.051,0.3
sweet cheese rolls,0.2,77.9,0.049,0.5,12.5,0.1,64.7,90.4,0.009,0.4
eclair,0.1,31.5,0.034,0.9,7.2,0.1,67.5,63.9,0.091,0.4
donut with cream filling,0.3,21.3,0.039,1.6,17,0.2,64.6,68,0.017,0.7
fruit toaster pastry,0.2,5.6,0.025,2,6.1,0.2,38.8,41.3,0.03,0.2
donut,0.2,27,0.018,0.5,7.7,0.2,52.7,45.9,0.001,0.2
pancakes whole wheat,0.3,110,0.056,1.4,20.2,0.7,164.1,122.8,0.044,0.5
keikitos,0.2,26.5,0.095,1.1,5,0.011,107.1,37.8,0.033,0.2
zwieback,0.05,0.041,1.4,0.083,0.06,1,0,3.9,21.4,0.023
chocolate coated donut,0.099,4.3,0.061,0.7,5.4,0.1,37.8,36.2,0.037,0.2
waffle toasted,0.2,101.3,0.059,2.3,7.9,0.035,141.6,47.5,0.009,0.2
cinnamon toaster pastry,0.2,17,0.088,2,12,0.2,66.5,57,0.022,0.3
wheat bran bread,0.2,26.6,0.003,1.1,29.2,0.6,66.6,81.7,0.057,0.5
white bread,0.1,0.081,41.8,0.04,1,6.7,0.2,28.4,36.5,0.009
oat bran bread,0.1,19.5,0.08,0.9,10.5,0.2,42.3,44.1,0.071,0.3
whole wheat bread natures own,0,0,0,0,0,0,0,0,0,0
high protein bread dr zaks,0,0,0,0,0,0,0,0,0,0
wheat bread,0.1,0.026,36.3,0.066,1,11.9,0.3,37.4,40.9,0.039
egg bread toasted,0.2,37.7,0.005,1.2,7.8,0.2,43.3,46.6,0.046,0.3
butter toastbrot ja,0,0,0,0,0,0,0,0,0,0
vienna bread toasted,0.2,13.6,0.075,1.1,9,0.2,36.5,40.6,0.082,0.3
vienna bread,0.2,14.1,0.018,1.2,9,0.2,36.5,41,0.057,0.3
protein bread,0.008,23.6,0.091,0.8,12.4,0.3,35.2,61.2,0.085,0.3
banana bread,0.2,12,0.004,0.8,8,0.1,33.1,76.4,0.096,0.2
rice bran bread,0.081,18.6,0.039,1,21.6,0.4,48.1,58.1,0.061,0.4
white fibre wonder bread,0,0,0,0,0,0,0,0,0,0
focaccia,0.3,20,0.073,1.8,11.4,0.2,73,65,0.016,0.8
oat bran bread toasted,0.1,19.2,0.049,0.9,9.2,0.2,31.3,33.2,0.08,0.3
rye bread,0.2,23.4,0.005,0.9,12.8,0.3,40,53.1,0.088,0.4
wheat germ bread,0.2,24.9,0.057,1,7.8,0.2,33.9,71.1,0.085,0.3
protein bread toasted,0.049,23.1,0.045,0.8,9.5,0.1,32.1,58.8,0.015,0.2
oatmeal bread,0.1,17.8,0.091,0.7,10,0.3,34,38.3,0.005,0.3
arepa,0.3,87.2,0.09,1,26.5,0.1,114.7,86.2,0.04,0.8
raisin bread toasted,0.1,20.9,0.099,0.9,8.1,0.2,34.2,71.3,0.013,0.2
cracked wheat bread,0.2,12.2,0.074,0.8,14.7,0.4,43.3,50.1,0.055,0.4
garlic bread,0.2,11.6,0.079,1.3,9.9,0.2,37.4,44.3,0.052,0.4
rye bread toasted,0.2,23.2,0.099,0.9,12.5,0.3,40,53.1,0.072,0.4
whole wheat bread,0.2,15.2,0.1,1.4,37.3,0.9,86,144.4,0.078,0.7
whole wheat bread toasted,0.2,15.1,0.1,1.4,37.4,0.9,86.1,144.9,0.015,0.7
pan dulce bread,0.1,54.2,0.045,1.8,15.1,0.3,59.2,64.9,0.014,0.5
rice bran bread toasted,0.026,18.8,0.022,1,19,0.4,43.5,53,0.041,0.3
pita bread whole wheat,0.1,4.2,0.016,0.9,19.3,0.5,50.4,47.6,0.046,0.4
wheat germ bread toasted,0.2,25,0.059,1,9.5,0.3,43.8,71.3,0.008,0.4
pumpernickel bread,0.2,17.7,0.008,0.7,14,0.3,46.3,54.1,0.061,0.4
frybread,0.5,86.6,0.1,6.1,27.4,0.5,187,117,0.094,0.5
white bread toasted,0.2,33.7,0.03,0.9,7.4,0.1,29.1,37.1,0.011,0.2
piki bread,0.028,51.5,0.04,1.7,50.7,0.5,104.7,169.1,0.019,1.1
wheat bread toasted,0.1,39.6,0.015,1,14.2,0.3,45.1,53.5,0.079,0.4
pita bread,0.3,51.6,0.1,1.6,15.6,0.3,58.2,72,0.082,0.5
potato bread,0.1,0.072,60.2,0.072,0.7,9,0.074,118.1,229.8,0.051
egg bread,0.2,37.2,0.084,1.2,7.6,0.2,42.4,46,0.077,0.3
oatmeal bread toasted,0.1,18,0.083,0.7,10.3,0.3,34.3,38.5,0.043,0.3
cheese bread,0.4,43.2,0.096,1.2,8.2,0.2,57.6,40.3,0.08,0.5
pumpernickel bread toasted,0.2,21.5,0.025,0.9,17.4,0.4,56.6,66.1,0.033,0.5
raisin bread,0.1,21.1,0.032,0.9,8.3,0.2,34.9,72.6,0.096,0.2
pumpernickel roll,0.1,18.8,0.067,0.8,15.1,0.5,47.9,58.2,0.069,0.4
cinnamon raisin bagel,0.047,4.9,0.073,1,7.3,0.2,26,38.5,0.026,0.3
english muffin,0.2,101.5,0.04,1.6,21.1,0.3,61,106,0.018,0.6
rye dinner roll,0.3,12.9,0.029,1.2,23.2,0.3,68.4,77.4,0.029,0.4
english muffin whole wheat,0.2,174.9,0.1,1.6,46.9,1.2,186.1,138.6,0.029,1.1
dinner roll whole wheat,0.1,29.7,0.05,0.7,23.8,0.6,62.7,76.2,0.091,0.6
dinner roll,0.1,49.3,0.032,1,10.1,0.3,29.1,32.2,0.097,0.3
hotdog roll,0.2,0.008,60.5,0.095,1.4,9.7,0.2,42.4,51.2,0.087
bagel,0.4,0.019,19.6,0.2,2.7,50,1.4,139.2,161.7,0.099
oat bran bagel,0.4,8.3,0.1,2.1,21.4,0.6,75.9,79.4,0.087,0.6
pain au chocolat de la boulangerie,0,0,0,0,0,0,0,0,0,0
egg bagel,0.1,3.4,0.09,1,6.5,0.1,21.8,17.7,0.088,0.2
english muffin toasted,0.2,102.4,0.051,2.4,14.6,0.3,55.6,67.1,0.057,0.7
english muffin whole wheat toasted,0.2,175.7,0.1,1.6,47,1.2,187.3,139.1,0.099,1.1
biscuit,0.6,237.4,0.048,2.9,18.2,0.4,165.6,122.2,0.003,0.5
french roll,0.2,34.6,0.048,1,7.6,0.2,31.9,43.3,0.067,0.3
oat bran dinner roll,0.1,28.1,0.004,1.4,10.9,0.2,38,39.9,0.067,0.3
pecan shortbread cookies,0.002,4.2,0.084,0.3,2.5,0.052,11.9,10.2,0.002,0.1
oatmeal cookies,0.1,9.3,0.029,0.6,8.3,0.2,34.5,35.5,0.044,0.2
chocolate wafers,0.8,34.7,0.5,4.5,59.4,0.8,147.8,235.2,0.048,1.2
vanilla wafers low fat,0.3,38.4,0.036,1.9,11.2,0.2,83.2,77.6,0.001,0.3
chocolate chip cookies mcdonalds,0.058,9.6,0.012,1.1,11.3,0.2,29.7,54.9,0,0.2
gingersnap cookies,0.012,5.4,0.021,0.4,3.4,0.1,5.8,24.2,0.079,0.06
biscotti abbracci mulino bianco,0,0,0,0,0,0,0,0,0,0
chocolate chip cookie,0.047,0.036,2.4,0.049,0.6,4.1,0.026,8.7,18.5,0.034
brownie,0.2,17.4,0,1.4,18.6,0.1,60.6,89.4,0.053,0.4
shortbread cookies,0.097,2.8,0.073,0.2,1.4,0.013,8.6,8,0.033,0.005
oatmeal cookies with raisins,0.022,15,0.031,0.4,6.3,0.1,24.2,35.9,0.016,0.1
peanut butter sandwich cookies,0.098,7.4,0.012,0.4,6.9,0.1,26.3,26.9,0.06,0.1
sugar cookies,0.007,3.2,0.034,0.3,1.8,0.073,12,9.5,0.052,0.024
chocolate covered graham crackers,0.067,8.1,0.019,0.5,8.1,0.1,18.8,29.3,0.033,0.1
raisin cookies,0.077,6.9,0.04,0.3,3.2,0.001,12.5,21,0.039,0.034
vanilla wafers,0.045,1.5,0.028,0.1,0.7,0.038,3.8,6.4,0.036,0.06
graham crackers,0.4,20.2,0.2,3.1,25.2,0.7,87.4,113.4,0.098,0.7
peanut butter cookies,0.1,7.8,0.075,0.4,7.8,0.1,23.2,46.2,0.062,0.2
vanilla sandwich cookie,0.044,4.1,0.053,0.3,2.1,0.08,11.3,13.7,0.064,0.051
sugar wafers with creme filling,0.06,2.7,0.019,0.4,1.6,0.052,7.3,11.8,0.085,0.074
cheese puffs,0.3,20,0.038,0.7,6.3,0.033,44.8,66.2,0.031,0.2
saltine crackers,0.067,0.059,0.6,0.025,0.2,0.8,0.088,3.3,4.8,0.039
trail mix,0.014,23.4,0.3,0.9,47.4,0.3,103.5,205.5,0,1
corn cones,0.3,0.8,0.052,0.7,3.1,0.013,12.5,22.9,0.05,0.032
chocolate pretzels,0.037,8.1,0.081,0.2,4.5,0.071,16,24.8,0,0.1
french toast sticks,0.001,11.4,0.036,0.4,4.1,0.029,18.8,24,0.066,0.1
crackers,0.1,0.036,19.2,0.011,0.6,2.9,0.076,39.7,18.9,0.053
sesame sticks,0.09,17,0.08,0.055,4.5,0.068,13.8,17.7,0.021,0.1
cheese crackers,0.065,0.026,9.5,0.032,0.3,1.8,0.075,14,10.9,0.031
oriental rice cracker mix,0.1,15.3,0.069,0.7,33.4,0.4,74.1,92.8,0.067,0.8
breadsticks,0.2,5.5,0.058,1.1,8,0.1,30.3,31,0.092,0.2
milk crackers,0.095,18.9,0.01,0.4,2.4,0.054,33.3,12.5,0.097,0.022
matzo crackers whole wheat,0.002,6.4,0.079,1.3,37.5,1,85.4,88.5,0.04,0.7
matzo crackers with egg,0.057,11.2,0.069,0.8,6.7,0.2,41.4,42,0.048,0.2
granola bites,0.067,0.015,2.1,0.074,0.024,3.5,0.017,10.8,14.3,0.016
crackers whole wheat,0.2,10.1,0.1,0.9,30.8,0.6,92.7,96.6,0.073,0.7
tropical trail mix,0.1,79.8,0.7,3.7,134.4,1.4,260.4,992.6,0,1.6
soft pretzels,0.9,26.5,0.1,4.5,24.2,0,90.9,101.2,0.03,1.1
corn tostada shell,0.084,9.3,0.042,0.2,9.3,0.031,25,29.2,0.028,0.2
matzo crackers,0,3.6,0.01,0.9,7,0.2,24.9,31.4,0.022,0.2
sesame crunch,0.027,11.5,0.096,0.019,4.5,0.055,7.4,5.5,0.033,0.013
trail mix with chocolate chips,0.2,159.1,1.2,4.9,235.1,1.6,565,946.1,0,4.6
cracker meal,0.078,26.5,0.3,5.3,27.6,1.1,119.6,132.3,0.086,0.8
puffed rice,0.053,2.3,0.02,12,9.5,0.6,37.2,42.9,0.094,0.4
filinchen gutena,0,0,0,0,0,0,0,0,0,0
melba toast crackers,0.2,27.9,0.046,1.1,17.7,0.3,58.8,60.6,0.042,0.6
matzo crackers with egg onion,0.052,10.1,0.013,1.2,8.4,0.2,24.9,23.2,0.066,0.2
cornnuts,0.2,2.5,0.001,0.5,32,0.1,77.8,78.7,0.064,0.5
bagel chips,0.4,42,0.3,8.8,68.3,1.2,229.3,245,0.03,1.8
pretzels,0.4,0.01,8.1,0.08,1.4,8.7,0.3,38.4,66.9,0.01
potato raw,0.072,25.6,0.2,1.7,49,0.3,121.4,896.7,0.079,0.6
gatto di patate home made,0,0,0,0,0,0,0,0,0,0
baked potato,0.097,0.057,26,0.2,1.9,48.4,0.4,121.1,925.6,0.028
potato sticks,0.2,6.5,0.1,0.8,23,0.2,61.9,445.3,0.042,0.4
potato cooked,0.035,3,0.1,0.2,13.2,0.044,26.4,227.4,0.022,0.2
vivaldi potatoes sainsburys,0,0,0,0,0,0,0,0,0,0
potato ham chowder soup,0.9,0,0,1.7,0,0,0,0,0,0
russet potato raw,0.068,48,0.4,3.2,84.9,0.6,203,1538.7,0.055,1.1
russet potato baked,0.084,53.8,0.3,3.2,89.7,0.7,212.3,1644.5,0.01,1
french fries,0.056,0.8,0.028,0.076,1.9,0.022,7.4,36.3,0,0.018
potato scalloped,0.8,139.7,0.4,1.4,46.6,0.4,154.4,926.1,0.064,1
cottage fries,0.058,0.9,0.053,0.025,1.9,0.086,6.7,32.5,0.06,0.027
mashed potatoes,0.7,43.6,0.06,0.8,36.3,0.2,142.8,692.1,0.055,0.5
mashed potato with milk and butter,0.7,50.4,0.3,0.5,37.8,0.2,94.5,596.4,0.074,0.6
red potato raw,0.02,21.3,0.3,1.6,46.9,0.3,129.9,969.2,0.022,0.7
potato pancake,0.2,7,0.043,0.4,7.9,0.006,28.2,136.8,0.072,0.2
potato puffs,0.6,17.9,0.01,0.8,21.8,0.2,131.8,399.4,0.018,0.4
red potato baked,0.037,0.075,7.7,0.1,0.6,23.8,0.1,61.2,463.3,0
potatoes canned,0.7,117,0.2,2.2,42,0.2,66,615,0.049,1.2
potato skin raw,0.053,11.4,0.2,1.2,8.7,0.2,14.4,156.9,0.096,0.1
shoestring french fries,0.055,0.3,0.057,0.052,0.5,0.057,2.4,10.6,0.038,0.053
hash brown potato,0.3,0.069,10.1,0.004,0.3,11.1,0.099,51.9,188.2,0.043
baked chips lays,0,0,0,0,0,0,0,0,0,0
corn chips,0.2,0.068,41.4,0.021,0.4,21.6,0.1,58.2,43.2,0.042
nacho cheese tortilla chips low fat,0.2,36.2,0.04,1.4,28,0.2,69.3,112.1,0.056,1
corn chips barbecue,1.5,259.4,0.3,3,152.5,1.5,409.9,467.3,0.005,2.1
corn chips unsalted,0.024,109.1,0.2,1.5,61.6,0,161.9,162.8,0.087,0.7
potato chips fat free,1.5,79.5,0.4,8.1,158.9,0,379.1,3695.6,0.038,1.7
sweet chilli kettle baked chips,0,0,0,0,0,0,0,0,0,0
taro chips,0.022,1.4,0.097,0.008,1.9,0.087,3,17.4,0.08,0.069
potato chips reduced fat,0.8,35.7,1,2.3,151.3,0.7,328.1,2964.8,0.08,0.1
onion snacks,0.3,8.7,0.072,1.1,8.4,0.1,21.6,42.9,0.002,0.086
potato chips cheese,0.8,122.4,0.4,3.1,127.5,0.8,508.3,2597.6,0,1.5
yuca cassava chips,0.041,0.9,0.019,0.099,0.8,0.083,1.7,14.8,0.002,0.078
tortilla chips low fat,0.1,45,0.006,0.5,27.5,0,90,77,0.087,0.3
ranch flavor tortilla chips,1,265.3,0.2,2.7,172.3,0.7,499,512.8,0.032,2.8
potato chips,0.021,7.2,0.1,0.5,20.1,0.2,49.5,382.5,0.099,0.3
tortilla chips,0.077,0.014,31.8,0.2,0.5,25.2,0,67.5,54.6,0.041
sweet potato chips,0.05,16.5,0.1,0.6,18.2,0.4,40.6,259,0.087,0.1
nacho cheese tortilla chips,0.2,0.002,41.1,0.071,0.3,22.5,0.1,75.6,66.9,0.072
vegetable chips,0.3,14.7,0.011,0.4,15,0.015,36.8,237.2,0.083,0.1
taco flavor tortilla chips,1.8,351.9,0.4,4.6,199.8,1,542.5,492.6,0.075,2.9
potato chips barbecue,1.3,99,0.7,3.8,148.5,1,368.3,2496.8,0.02,1.9
pita chips,0.3,0.051,5.1,0.065,1.4,11.1,0.2,37.2,38.7,0.003
potato chips sour cream and onion,1.1,142.6,0.6,3.2,146.5,0.8,348.5,2635.4,0,1.9
adobo fresco,49.4,354.2,0.088,9.2,66.2,0,109.4,538.6,0.024,0.7
chili pepper sauce red,0.003,1.4,0,0.051,1.8,0,2.4,84.6,0.06,0.037
creamy ranch sauce mcdonalds,0.2,8.2,0.079,0.039,0.8,0.056,8.5,22.1,0,0.071
catsup,0.2,2.7,0.08,0.073,2.6,0.079,4.8,53.6,0.096,0.015
chili pepper sauce green,0.03,0.8,0.062,0.023,1.8,0,2.1,84.6,0.023,0.09
red wine vinegar,0.092,0.9,0.095,0.049,0.6,0.021,1.2,5.8,0,0.065
fish sauce,1.4,7.7,0.089,0.1,31.5,0.082,1.3,51.8,0.021,0.057
coleslaw dressing reduced fat,0.3,6.1,0,0.08,0.9,0.069,5.1,8.5,0.08,0.071
sour dressing,0.094,13.6,0.017,0.091,1.2,0.021,10.4,19.4,0.058,0.064
guava sauce cooked,0.017,16.7,0.2,0.4,16.7,0.3,26.2,535.5,0.044,0.4
pizza sauce,0.9,0,136.1,0.3,2.3,52.9,0.6,126,892.1,0
sweetn sour sauce mcdonalds,0.2,1.7,0.076,0.2,1.7,0.049,4.5,27.7,0,0.05
nance syrup,0.035,1.6,0.015,0.013,0.6,0.069,0.3,7.2,0,0
french dressing reduced fat,0.072,1.8,0.048,0.1,1.3,0.068,2.6,17.1,0.063,0.079
peppercorn dressing,0.1,2.9,0.002,0.055,0.3,0,3.5,23.6,0.083,0.011
sorghum syrup,0.096,31.5,0.098,0.8,21,0.3,11.8,210,0.013,0.046
ranch dressing fat free,0.1,7,0.032,0.1,1.1,0.037,15.8,15.5,0.047,0.041
caesar dressing low calorie,0.2,3.6,0.067,0.016,0.3,0.029,2.9,4.4,0.05,0.029
sweet sour dressing,0.065,0.6,0.087,0.078,0.5,0.047,0.5,5.3,0.007,0.099
mayonnaise imitation fat free,0.1,1,0.095,0.008,0.3,0,0.8,7.8,0.037,0.037
sofrito,2.4,41.2,0.3,1.9,51.5,0.4,286.3,826.1,0,2.9
turkey gravy instant,0.3,7.7,0.012,0.6,2,0.04,13.6,20.5,0.083,0.032
teriyaki sauce,0.7,4.5,0.056,0.3,11,0,27.7,40.5,0.038,0.049
tomato sauce,0.083,0.083,34.3,0.3,2.4,36.8,0.3,66.2,727.7,0.09
barbecue sauce kraft,0.2,7.5,0.011,0.1,2.4,0.093,3,39.5,0,0.006
cranberry sauce sweetened,0.076,11.1,0.097,0.6,8.3,0.2,16.6,72,0.025,0.1
coleslaw dressing,0.1,2.2,0.01,0.01,0.3,0.057,4.2,1.4,0.091,0.062
onion gravy dry,1,67.2,0.026,0.2,8.2,0.035,48.7,62.9,0.091,0.2
corn syrup light,0.065,2.9,0,0,0.2,0,0,0.2,0.056,0.015
bacon tomato dressing,0.1,0.6,0.013,0.057,0.9,0,3.8,16.2,0.009,0.045
pancake syrup,0.064,1,0.024,0.038,0.4,0.016,2,1.2,0.079,0.097
balsamic vinegar,0.071,4.3,0.074,0.1,1.9,0.046,3,17.9,0,0.033
ranch dressing reduced fat,0.2,6,0.051,0.1,0.9,0.098,29,19.8,0.082,0.035
barbecue sauce mcdonalds,0.3,3.1,0.008,0.1,3.6,0.056,8.4,55.2,0,0.097
vinegar oil dressing,0.076,0,0,0,0,0,0,1.3,0.06,0
poppyseed dressing,0.1,9.7,0.093,0.048,1.5,0.006,8.1,10.1,0.083,0.091
honey mustard dressing,0.019,1.8,0.003,0.07,0.8,0.048,3.3,3,0.001,0.044
french dressing fat free,0.1,0.8,0.073,0.081,0.5,0.002,0,13.4,0.019,0.01
vinegar,0.024,0.9,0.089,0.002,0.1,0.072,0.6,0.3,0.031,0.028
spray dressing,0.012,0.5,0,0.096,0,0,0,0,0,0
honey mustard dressing fat free,0.2,3.6,0.014,0.053,2,0.027,5.6,10.4,0.096,0.061
mushroom gravy,1.4,16.7,0.2,1.6,4.8,0.7,35.7,252.3,0.078,1.7
white sauce,0.9,295,0.033,0.8,35,0.1,245,390,0.073,1
marinara pasta sauce,1.1,71.3,0.2,2.1,47.5,0.4,89.8,842.2,0.061,0.5
tomato sauce with mushrooms,1.1,31.9,0.5,2.2,46.6,0.5,78.4,931,0.019,0.5
pork gravy powder,0.4,9.3,0.011,0.3,2.3,0.06,12.6,15.7,0.097,0.009
beef gravy,1.5,14,0.2,1.6,4.7,0.5,69.9,188.7,0.085,2.3
green goddess dressing,0.1,5.1,0.004,0.067,1.1,0,4.7,8.7,0.002,0.081
salsa con queso,2,245,0.048,0.4,20,0.08,500,262.5,0.073,1
cocktail sauce,0.2,3.9,0.023,0.1,2.6,0.096,4.5,46.4,0.075,0.086
worcestershire sauce,0.2,18.2,0.09,0.9,2.2,0,10.2,136,0.067,0.023
barbecue sauce,0.2,5.6,0.042,0.1,2.2,0.038,3.4,39.4,0.044,0.038
tomato sauce with onions,1.3,41.7,0.4,2.3,46.6,0.7,95.6,1011.9,0.059,0.6
brown gravy dry,0.3,7.9,0.032,0.1,2,0.048,12.2,15.7,0.038,0.013
blue cheese dressing light,0.2,10.9,0.033,0.042,0.6,0,7.5,8.2,0.003,0.073
spanish tomato sauce,1.2,41.5,0.4,8.5,46.4,0.5,117.1,900.4,0.087,0.8
oyster sauce,0.5,5.8,0.037,0.069,0.7,0.083,4,9.7,0.072,0.022
cheese sauce,0.002,46.7,0.1,0.047,2.9,0.084,34.4,21.3,0.078,0.2
hoisin sauce,0.3,5.1,0.061,0.2,3.8,0.025,6.1,19,0.058,0.022
pickle relish,0.1,0.5,0.038,0.1,0.8,0.04,2.1,3.8,0,0.005
