food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
ostrich top loin raw,0.073,5.1,0.1,2.7,18.7,0.082,181.9,265.2,0.099,3.2
veal brain cooked,0.5,54.2,0.9,5.7,54.2,0.1,1305.2,725.5,0.055,5.5
veal tongue cooked,0.2,23,0.5,5.3,45.9,0.1,423.3,413.1,0.016,11.5
beef heart cooked,0.024,0.038,1.4,0.2,1.8,5.9,0.03,71.9,62,0.015
turkey liver cooked,0.083,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4
veal thymus cooked,0.036,1.1,0.029,0.4,6.8,0.063,177.4,123.1,0.059,0.6
beef brain cooked,0.6,31.6,0.8,7.8,52.7,0.1,1354.9,1242.5,0.09,4.7
beef pancreas cooked,0.1,35.5,0.2,5.8,46.6,0.5,1005.7,546.1,0.1,10.2
beef tripe cooked,0.045,68.9,0,0.6,12.8,0.041,56.1,35.7,0.01,1.5
chicken gizzard cooked,0.069,24.7,0.2,4.6,4.4,0.1,274.1,259.6,0.047,6.4
pork pancreas cooked,0.1,39.2,0.3,6.6,56.4,0.5,713,411.6,0.2,10.5
beef tongue cooked,0.029,1.4,0.048,0.7,4.2,0.03,41,52.1,0.065,1.2
lamb heart cooked,0.1,26.7,1.2,10.5,45.8,0.1,485.1,359.1,0.04,7
beef spleen cooked,0.2,37,2.8,121.2,58.5,0.2,939.4,874.7,0.3,8.6
veal kidneys cooked,0.2,53.4,0.7,5.6,44.2,0.2,684.5,292.6,0.2,7.8
chicken heart cooked,0.081,27.6,0.7,13.1,29,0.2,288.6,191.4,0.027,10.6
lamb tongue cooked,0.2,25.5,0.5,6.7,40.8,0.076,341.7,402.9,0.072,7.6
veal heart cooked,0.1,15.8,0.9,8.6,35.6,0.1,495,394,0.1,4.4
chicken liver cooked,0.079,0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,0.052
lamb pancreas cooked,0.1,27.7,0.2,4.9,43.9,0.049,995.6,672.2,0.1,6.2
veal spleen cooked,0.2,24.2,3.2,25.4,48.3,0.3,1076.4,741.8,0.3,6.6
lamb liver cooked,0.2,26.9,23.8,27.8,73.9,1.7,1411.2,742.6,0.4,26.5
turkey gizzard cooked,0.031,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8
lamp spleen cooked,0.2,38.4,0.4,114.1,62,0.2,1006,731.6,0.1,11.6
turkey heart cooked,0.046,4.2,0.2,1.4,5.6,0.017,48.2,40.6,0.001,0.9
beef liver cooked,0.068,0.07,4.1,9.7,4.4,14.3,0.2,338,239.4,0.023
lamb lungs cooked,0.3,45.7,0.9,17.4,41.9,0.064,716.3,483.9,0.095,7.4
pork brain cooked,0.3,34.4,1,7,45.8,0.3,840.4,744.9,0.003,5.7
goose liver,0.1,40.4,7.1,28.7,22.6,0,245.3,216.2,0.067,2.9
pork kidneys cooked,0.1,18.2,1,7.4,25.2,0.2,336,200.2,0.4,5.8
lamb brain cooked,0.5,41.6,0.7,5.8,48.6,0.2,1169.4,711.4,0.066,4.7
pork heart cooked,0.053,10.2,0.7,8.5,34.8,0.1,258.1,298.7,0.082,4.5
lamb kidneys cooked,0.4,45.9,0.9,31.6,51,0.4,739.5,453.9,0.6,9.7
beef lungs cooked,0.3,33.3,0.7,16.4,30.3,0.015,539.3,524.2,0.2,5
veal pancreas cooked,0.2,43.2,0.2,5.7,57.6,0.6,1228.8,667.2,0.098,12.5
pork liver cooked,0.2,35.4,2.2,63.4,49.6,1.1,853.1,531,0.2,23.8
beef kidneys cooked,0.029,5.4,0.2,1.6,3.4,0.007,86,38.2,0.049,0.8
turkey giblets cooked,0.1,0.014,17.1,0.7,3.2,23.8,0.2,236.6,168.2,0.072
duck liver raw,0.089,4.8,2.6,13.4,10.6,0.1,118.4,101.2,0.069,1.4
veal liver cooked,0.046,0.043,4.8,12,4.1,16,0.2,368,263.2,0.043
pork lungs cooked,0.2,24,0.2,49.2,36,0.029,558,453,0.085,7.4
veal lungs cooked,0.2,21,0.7,10.8,24,0.082,696,426,0.067,3.6
beef thymus cooked,0.4,38.1,0.2,5.7,38.1,0.4,1386.8,1649.7,0.029,8.4
ham,0.2,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4
pork meat cooked,0.7,10.7,0.082,0.7,41.5,0.077,369.8,615.1,0.048,2.6
bacon roasted,0.034,0.097,0.9,0.096,0.1,2.6,0.003,42.6,45.2,0.09
pork top loin roasts raw,1,153.7,1.2,11.6,526.8,0.2,4741.2,7858.1,0.6,38
pork blade roll raw,0.4,2,0.084,0.2,3.7,0.042,56.3,83.5,0.078,0.7
pork backribs raw,0.9,332,1,8.1,171.4,0.085,1649.3,2645.4,0.3,27.2
pork spareribs cooked,0.2,83.2,0.3,3.3,42.5,0.083,462,566.4,0.092,8.1
pork stomach cooked,0.035,4.2,0.048,0.3,4.2,0.015,36.5,24.1,0.077,0.8
honey smoked ham cooked,0.5,3.3,0.039,0.2,4.4,0.096,211.2,90.8,0.099,0.5
boston butt steak raw,0.3,72.6,0.4,5.1,90.7,0.098,861.8,1442.4,0.1,14
pork sirloin chops cooked,0.001,0,9,0.012,0.6,20.5,0.073,238.6,337,0.043
pork country style ribs raw,0.061,28.2,0.023,1.1,26.9,0.072,247,407,0.048,3.6
ham patties,0.7,5.2,0.039,0.7,6.5,0.064,96.9,155.4,0.075,1
pork feet cooked,0.046,0,0.014,0.3,1.4,0.017,23.2,9.3,0.04,0.3
ground pork cooked,0.2,68.9,0.1,4,75.1,0.081,707.4,1133.1,0.1,10
pork centre loin chops cooked,0.065,0,37.7,0.1,1.2,39.3,0.005,345.4,540.1,0.07
pork leg cap steak cooked,0.1,13.6,0.1,1.9,44.6,0.061,428.7,710,0.035,8
pork blade chops raw,0.2,78.9,0.2,1.9,47.3,0.059,594.4,823.2,0.038,7.2
pork tenderloin raw,0.3,30.3,0.4,4.9,136.4,0.098,1227.2,1984.7,0.2,9.4
pork sirloin chops raw,0.6,81.1,0.6,5,207.2,0.094,2261.5,3189.5,0.3,15.5
pork leg cap steak raw,0.2,16.2,0.1,1.9,50.8,0.069,478.2,843.2,0.009,7.3
pork carcass raw,0.2,86.2,0.2,3.1,59,0.081,703.1,1147.6,0.1,7.2
pork splean cooked,0.3,38.9,0.4,66.5,44.9,0.1,846.2,678.7,0.1,10.6
chopped ham,0.3,2,0.049,0.2,4.5,0,43.4,89.3,0.098,0.5
pork centre loin chops raw,0.1,37.8,0.1,1.3,49.8,0.096,415.9,682.6,0.052,3.5
pork blade chops cooked,0.072,10.5,0.1,1.2,31.4,0.076,355,533.2,0.085,3
boston butt steak cooked,0.1,48.1,0.2,3.2,42.6,0.063,384.8,564.3,0.04,9
pork meat raw,0.021,4,0.076,0.07,1.7,0,23.8,94.2,0.046,0.2
pork top loin chops raw,0.099,13,0.1,0.9,48.1,0.02,418.1,690.1,0.096,2.9
