food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
beef flank steak cooked,17.5,7.2,7.1,0.7
chuck eye steak grilled,60.5,26.7,29.1,4.4
veal meat raw,30.7,12.7,11.7,2.2
veal loin cooked,4.9,1.9,1.9,0.3
veal loin raw,2.6,1.1,1,0.2
veal shoulder cooked,19.4,7.2,7.4,1.4
beef tenderloin steak raw,29.8,12,12.7,1.1
veal shank cooked,12,4,4.5,1
beef brisket raw,86.5,34.2,38.6,3
pastrami beef,4.1,1.9,1.5,0.1
beef flank steak raw,2.3,1,1,0.038
beef top sirloin steak cooked,25.2,9.9,10.5,1
veal breast raw,66.9,26.7,32.5,4.3
beef rib raw,123.8,51.2,53,4.5
beef jerky,5.1,2.2,2.3,0.2
beef breakfast strips cooked,3.9,1.6,1.9,0.2
pork olive loaf,4.6,1.6,2.2,0.5
beef luncheon meat jellied,0.9,0.4,0.4,0.034
turkey pastrami,1.8,0.5,0.6,0.5
pork salami,3.4,1.2,1.6,0.4
canadian style bacon raw,2,0.6,0.9,0.2
honey loaf,3.6,1.3,1.7,0.3
pork beef salami,3.1,1.1,1.4,0.5
beef pork bologna,7.4,2.8,3.2,0.3
pork beef salami cooked,3.2,1.1,1.4,0.3
pork breakfast strips raw,8.4,2.9,3.8,1.3
pickle pimiento loaf,6.1,2,2.7,1.1
luxury loaf,1.3,0.4,0.7,0.1
mortadella,3.8,1.4,1.7,0.5
pork bologna,5.6,1.9,2.7,0.6
turkey salami cooked,0.5,0.1,0.2,0.1
pepperoni beef,0.9,0.3,0.3,0.053
peppered loaf,1.8,0.6,0.9,0.1
luncheon meat beef,0.3,0.1,0.1,0.013
lebanon bologna,6,1.6,2.5,0.1
chicken pork bologna,8.6,2.8,3.7,1.2
turkey roll,1.9,0.6,0.6,0.5
beef salami cooked,5.8,2.6,2.8,0.3
yachtwurst cooked,12.7,4.4,0,0
italian salami,3.7,1.3,1.8,0.4
turkey ham,1.6,0.1,0.2,0.3
turkey bologna,4.5,1.2,1.9,1.1
sliced turkey breast,0.6,0.1,0.2,0.2
luncheon meat pork beef,9,3.2,4.2,1
beef bologna,7.8,3.1,3.7,0.4
turkey bacon cooked,22.9,6.8,8.9,5.6
ground emu cooked,5.1,1.4,2.1,0.7
ostrich leg raw,1.5,0.5,0.5,0.3
ostrich strip raw,2.4,0.8,1,0.5
emu fillet cooked,9.1,2.3,3.6,1.3
ostrich tenderloin raw,2.7,1,1,0.6
emu drums cooked,8.4,2.7,3.6,1.7
green turtle raw,0.1,0.015,0.093,0.074
ground bison cooked,21.6,8.7,8.2,1
goat meat raw,10.5,3.2,4.7,0.8
ground emu raw,4.7,1.2,1.9,0.7
ground ostrich raw,9.5,2.4,2.9,1
ostrich tip cooked,2.2,0.9,0.8,0.4
caribou cooked,6.4,2.5,2,1
ground ostrich cooked,6.6,1.7,2,0.7
ostrich leg cooked,1.6,0.6,0.6,0.3
ostrich top loin cooked,3.3,1.1,1.1,0.3
ostrich strip cooked,3.6,1.5,1.5,0.6
ostrich tip raw,2,0.7,0.7,0.4
ostrich round raw,2,0.7,0.7,0.4
ground bison raw,6.1,2.5,2.3,0.3
ostrich fan raw,2.3,0.8,0.8,0.4
ostrich top loin raw,2.5,1,0.9,0.5
veal brain cooked,32.6,7.4,5.9,5.1
veal tongue cooked,25.8,11.1,11.8,1
beef heart cooked,1.3,0.4,0.3,0.3
turkey liver cooked,4.3,1.2,0.6,1.1
veal thymus cooked,0.9,0.3,0.3,0.066
beef brain cooked,55.6,13.1,14,8.1
beef pancreas cooked,38.2,13.1,13.2,7.1
beef tripe cooked,3.4,1.2,1.4,0.2
chicken gizzard cooked,3.9,1,0.8,0.5
pork pancreas cooked,26.5,9.1,9.2,5
beef tongue cooked,6.3,2.3,2.9,0.2
lamb heart cooked,15.1,6,4.2,1.5
beef spleen cooked,12.9,4.3,3.4,1
veal kidneys cooked,10.4,3.2,2.3,2.1
chicken heart cooked,11.5,3.3,2.9,3.3
lamb tongue cooked,51.7,20,25.5,3.2
veal heart cooked,13.4,3.6,2.8,3.5
chicken liver cooked,2.8,0.9,0.6,0.6
lamb pancreas cooked,34.9,15.8,12.6,1.7
veal spleen cooked,10,3.3,2.7,0.7
lamb liver cooked,29.6,11.5,6.2,4.4
turkey gizzard cooked,2.1,0.5,0.4,0.3
lamp spleen cooked,14.1,4.7,3.7,1
turkey heart cooked,1.5,0.4,0.3,0.4
beef liver cooked,3.6,1.2,0.4,0.4
lamb lungs cooked,11.8,4,3,1.6
pork brain cooked,36.3,8.2,6.6,5.6
goose liver,4,1.5,0.8,0.2
pork kidneys cooked,6.6,2.1,2.2,0.5
lamb brain cooked,35.3,9,6.4,3.6
pork heart cooked,7.3,1.9,1.7,1.9
lamb kidneys cooked,9.2,3.1,2,1.7
beef lungs cooked,11.2,3.8,2.9,1.5
veal pancreas cooked,35,12,12.1,6.5
pork liver cooked,15.6,5,2.2,3.7
beef kidneys cooked,1.3,0.3,0.2,0.2
turkey giblets cooked,6.3,1.6,1,1.5
duck liver raw,2,0.6,0.3,0.3
veal liver cooked,5,1.6,0.9,0.9
pork lungs cooked,9.3,3.3,2.1,1.1
veal lungs cooked,7.9,2.7,2,1.1
beef thymus cooked,95.2,32.8,32.9,17.8
ham,2.5,0.1,1.2,0.2
pork meat cooked,14.1,4.4,6.8,2.1
bacon roasted,3.3,1.1,1.5,0.4
pork top loin roasts raw,182.8,35.1,40.8,14.3
pork blade roll raw,6.2,2.2,2.8,0.7
pork backribs raw,174.9,61.9,73.5,28.7
pork spareribs cooked,53.6,19.7,23.9,4.8
pork stomach cooked,2.1,0.8,0.6,0.2
honey smoked ham cooked,1.3,0.6,0.9,0.2
boston butt steak raw,56.1,19.7,23.6,7.2
pork sirloin chops cooked,4.5,1.5,1.8,0.8
pork country style ribs raw,15.1,3,3.5,1.2
ham patties,18.3,6.6,8.6,2
pork feet cooked,4.5,1.2,2.3,0.4
ground pork cooked,65,24.2,29,5.9
pork centre loin chops cooked,17.4,5.5,6.6,2.1
pork leg cap steak cooked,8.6,2.6,3.7,1.1
pork blade chops raw,15.4,5.2,6.1,2.1
pork tenderloin raw,17.8,6,6.8,2.8
pork sirloin chops raw,23.3,8.2,9.9,3.7
pork leg cap steak raw,7.8,2.7,3.9,1.2
pork carcass raw,159.1,56.4,72.3,17.2
pork splean cooked,9.6,3.2,2.6,0.7
chopped ham,2.9,1,1.4,0.4
pork centre loin chops raw,18,6,7.1,2.4
pork blade chops cooked,14.6,4.3,5.1,1.9
boston butt steak cooked,32.7,12.2,14.8,3.8
pork meat raw,18.6,6.2,7.9,3.7
pork top loin chops raw,12.8,4.5,5.5,1.6
pork blade steak braised,44.7,16.6,20.1,5.3
pork boston steaks cooked,28.1,10.1,12.5,2.5
bacon cooked,3.1,1.1,1.4,0.5
pickled pork hocks,3,0.9,1.5,0.3
pork boston roast cooked,49.4,18.3,21.7,4.6
canadian style bacon grilled,2,0.7,0.9,0.2
ham steak,2.4,0.8,1.1,0.3
pork backfat,402.3,146.1,190.3,46.9
bacon baked,3.5,1.1,1.5,0.4
pork arm picnic raw,343.4,113.6,147.3,67.9
salt pork raw,22.8,8.3,10.7,2.7
pork arm picnic cooked,322.7,109.3,139,62.7
pork top loin chops cooked,11.2,4.3,4.9,1.7
ground pork raw,26.5,9.8,11.8,2.4
pork shoulder raw,81.6,28.3,36.3,8.7
pork chitterlings cooked,5.8,2.7,2,0.3
pork breakfast strips cooked,4.1,1.4,1.9,0.6
pork blade roll roasted,88.3,31.5,41.5,9.4
pork tail cooked,98.5,34.2,46.4,10.8
pork centre rib roasts raw,9.7,3.3,4,1.1
pork centre rib roasts roasted,114.9,42.6,48.4,19.4
minced ham,4.3,1.5,2,0.5
ham roasted,21.3,7.1,9.9,2.5
pork loin raw,14.7,5.1,6.6,1.6
pork backribs roasted,188.9,68.5,81.6,31
pork belly raw,240.5,87.7,112,25.6
ham raw,18.2,6,8.7,2.1
ham extra lean,2.3,0.8,1.1,0.3
pork feet pickled,45.5,13.4,25.8,3.6
pork shoulder cooked,28.9,10.6,12.8,2.8
pork top loin roasts roasted,74.8,24.1,29.8,8.5
pork skin,8.9,3.2,4.2,1
pork country style ribs cooked,15.2,5.4,6.6,1.8
pork blade steak raw,43.7,15.4,18.4,5.6
pork tenderloin cooked,6.2,2.2,2.5,0.6
pork loin cooked,12.1,4.5,5.4,1
pork ears cooked,12,4.3,5.5,1.3
pork tongue cooked,43,14.9,20.2,4.5
pork spareribs raw,303.5,97.7,110.8,51.3
ham patties grilled,18.5,6.7,8.8,2
chicken skin roasted,45.6,12.8,19.1,9.6
turkey breast raw,158.9,43.2,60.2,37.6
ground turkey raw,8.7,2.3,3,2.5
chicken wing cooked,3.5,1,1.4,0.8
turkey roast roasted,7.8,2.6,1.6,2.2
pheasant meat raw,74.3,21.6,34.6,9.4
chicken back raw,17,4.9,7.2,3.6
chicken back cooked,6.5,1.8,2.6,1.4
chicken leg fried,25.5,6.8,10.4,6.1
chicken feet cooked,66.2,17.8,24.9,13.5
turkey steak fried,10.8,2.8,4.4,2.8
turkey taco meat cooked,13.9,3.2,4.7,3.9
chicken leg raw,54.9,15,22.8,11.5
chicken meat raw,138.6,39.7,57.4,29.7
chicken neck cooked,6.9,1.9,2.7,1.5
chicken drumstick fried,11.3,3,4.6,2.7
quail egg,1,0.3,0.4,0.1
duck meat cooked,39.7,13.5,18.1,5.1
chicken wing roasted,14.3,4.2,6.6,3.1
quail meat cooked,63.9,17.9,22.2,15.8
goose meat cooked,30.7,9.6,14.4,3.5
chicken breast cooked,4.5,1.3,1.8,1
chicken neck raw,13.1,3.6,5.3,2.8
duck egg,9.6,2.6,4.6,0.9
pheasant breast raw,11.8,4,3.8,2
duck meat raw,498.8,167.6,237,64.4
squab meat raw,47.4,16.8,19.3,6.1
chicken drumstick raw,12.4,3.3,4.9,2.6
turkey meat roasted,11.1,3.2,4,3.2
chicken breast raw,16.1,4.6,6.6,3.4
ground chicken cooked,27.4,7.8,12.2,5.2
turkey wing cooked,23.1,6.3,8.7,5.5
goose meat raw,550.7,160.2,291.1,61.6
turkey breast roasted,128,36.3,42.3,31.1
chicken fajita strips,0.5,0.2,0.2,0.1
crispy chicken strips tyson,6,7.7,14.5,1
chocolate pudding fat free,0.3,0,0,0
tapioca pudding,4.3,1.1,2.8,0.088
tapioca pudding fat free,0.4,0.1,0.08,0.067
rice pudding,2.4,1.4,0.6,0.1
corn pudding,12.6,6.3,3.9,1.4
chocolate pudding,6.9,1.9,4.1,0.2
lemon pudding,4.4,2.6,1.3,0.2
vanilla pudding,5.7,1.5,3.4,0.1
profeel proteiinirahka valio,0.4,0.2,16.8,16.8
cottage cheese creamed,0.9,0.3,0.2,0.084
zaziki milfina,4.4,1.6,1.2,0
cottage cheese low fat,2.3,1.5,0.7,0.041
cottage cheese nonfat,0.4,0.2,0.1,0.066
vanilla yogurt low fat,3.1,2,0.8,0.036
classique yogurt plain 2 liberte,1.2,0.7,0.7,0
yoplait light strawberry yogurt yoplait,0,14.1,8.8,4.4
vanilla yogurt,2.1,1.3,0.5,0.069
chocolate yogurt,0,0,0,0
yogurt parfait,1.5,0.8,0.5,0.2
yogurt,4.9,3.1,1.3,0.1
chocolate frozen yogurt,6.3,4,1.7,0.2
frozen yogurt,6.3,4,1.7,0.2
yogurt low fat,3.8,2.5,1,0.1
vanilla yoghurt oikos,1.8,24,4.9,0
fruit yogurt,1.7,1.1,0.5,0.024
danone low fat alsafi,1.7,1,11.1,7.1
fruit n yogurt parfait mcdonalds,1.9,0.044,0.2,0.1
triple zero greek yogurt dannon oikos,0,0,15,7
greek yogurt,0.7,0.2,0.018,0.01
chocolate rasberry protein mini proteinfx,2.9,1.8,9.1,0
gushers fruit gushers,6,80,40,0
egg fried,6.8,2,2.8,1.5
glucerna abbott,35.6,2.8,0,0
sports drink,0,0,0,0
peanut butter cookie protein syntha 6,6,15,2,22
hanfprotein pulver rohkostqualitat veganz,3.1,0.3,2.3,1.6
smoothie high protein creamy chocolate slimfast,3.5,0.5,0,0
egg large,9.3,0.5,11.8,0
boysenberries frozen,0.3,0.049,0.059,0.2
malt beverage,0.3,0.005,0.032,0.1
chocolate powder for milk,0.5,0.5,0,0
vegetable fruit juice,0.017,0,0,0
cocoa powder unsweetened,0.7,0.4,0.2,0.048
coconut milk,3.6,3.2,0.2,0.01
cocoa powder,0.3,0.2,0.061,0.055
rice drink,2.3,0,1.5,0.8
coconut water,0.5,0.4,0.091,0.03
caramel med iced coffee dunkin donuts,9,41,37,5
instant coffee with water decaffeinated,0,0.024,0,0.068
instant coffee powder,0.5,0.2,0.09,0.2
instant coffee powder decaffeinated,0.069,0.015,0.031,0.075
instant cappuccino powder,0.7,0.4,0.2,0.098
coffee decaffeinated,0,0.087,0,0.099
espresso decaffeinated,0.011,0.037,0,0.057
instant coffee with water,0,0.051,0,0.025
coffee,0.069,0.011,0.016,0.011
espresso,0.086,0.068,0,0.054
whey protein powder vanilla eas,1.7,1.4,1.3,20.2
energy drink sugar free red bull,0.2,0,0,0
powerade coca cola,0.009,0.076,0.078,0.054
amp energy pepsi,0.2,0,0,0
gatorade g2 pepsi,0.052,0,0,0
amp energy sugar free pepsi,0,0,0,0
energy drink red bull,0,0,0,0
powerade zero ion4 coca cola,0,0,0,0
full throttle coca cola,0.2,0,0,0
passion fruit juice purple,0.4,0.064,0.037,0.3
pomegranate juice,0.7,0.2,0.1,0.1
cranberry apricot juice,0,0,0,0
pineapple juice,0.3,0.071,0.027,0.1
passion fruit juice yellow,0.1,0.008,0.02,0.094
orange apricot juice,0.3,0.001,0.078,0.063
tangerine juice,0.5,0.082,0.015,0.054
orange juice,0.4,0.079,0.046,0.037
grapefruit juice,0.2,0.011,0.09,0.008
pineapple grapefruit juice,0.3,0.077,0,0.022
tamarind nectar,0.3,0,0,0
apple juice,0.3,0.064,0.078,0.09
limeade,0,0,0,0
guava nectar,0.2,0.05,0.071,0.054
orange grapefruit juice,0.2,0.009,0.001,0.098
orange juice sainsburys,0.088,2.5,0.1,0
cranberry apple juice,0.3,0.066,0.014,0.1
pineapple orange juice,0,0,0,0
pear nectar,0.062,0.032,0.086,0.038
blackberry juice,1.5,0.095,0.1,0.9
lemon juice,0.6,0.06,0.073,0.038
cranberry grape juice,0.2,0.053,0.092,0.08
citrus fruit juice,0.057,0.088,0.048,0.085
prune juice,0.006,0.033,0.082,0.011
guanabana nectar,0.4,0.096,0.1,0.006
fruit juice,0.1,0.059,0.048,0.036
horchata,0.2,0,0,0
fruit punch,0.4,0.048,0.011,0.039
apricot nectar,0.2,0.07,0.085,0.039
orangensaft ja,0,0,17.8,17.8
fruchtcocktail granini,0.4,0.2,23,23
peach nectar,1.3,0.6,0.2,0.5
orange pineapple juice,0.08,0.056,0.026,0.024
cranberry juice,0.3,0.061,0.098,0.1
white grapefruit juice,0.2,0.083,0.091,0.007
mango nectar,0.2,0.04,0.092,0.066
acerola cherry juice,0.7,0.2,0.2,0.2
apple juice concentrate,0.8,0.1,0.053,0.2
papaya nectar,0.4,0.1,0.1,0.07
apple juice martinellis,0,0,29.1,0.7
lime juice,0.2,0.052,0.087,0.071
grape juice,0.3,0.06,0.03,0.059
water dannon,0,0,0,0
tap water,0,0,0,0
table water,0,0,0,0
fruit flavored water,0,0,0,0
water,0,0,0,0
cola light coca cola,0,0,0,0
lemon lime soda,0,0,0,0
tonic water,0,0,0,0
lemonade low calorie,0,0,0,0
ginger ale,0,0,0,0
ice tea lemon flavor nestle,0,0,0,0
sprite coca cola,0.063,0,0,0
cola coca cola,0,0,0,0
cola,0.07,0,0,0
cream soda,0,0,0,0
club soda,0,0,0,0
pink lemonade,0.3,0.079,0.03,0.034
grape soda,0,0,0,0
cola without caffeine coca cola,0,0,0,0
white lemonade,0.003,0.093,0.024,0.076
chocolate soda,0,0,0,0
sweet tea lipton,0,0,0,0
hibiscus tea,1.3,0.5,0.2,0.04
instant lemon tea,0,0,0,0
pesca tea santal,0,28.1,0,0
instant lemon tea sweetened,0.2,0.018,0.046,0.093
tea with milk and sugar yorkshire,0.5,0.3,0.7,0.7
tea blueberry muffin tekanne,0.2,0.2,0.6,0.4
chamomile tea,0,0.028,0.032,0.073
black tea,0,0.072,0.032,0.029
herb tea,0,0.014,0.043,0.071
clam tomato juice,0.3,0,0,0
tomato juice,0.7,0.043,0.062,0.043
vegetable juice,0.2,0.071,0.016,0.1
tomato vegetable juice,0.2,0.014,0.014,0.1
carrot juice,0.3,0.055,0.027,0.1
acorn dried,8.9,1.2,5.6,1.7
fenugreek seeds,0.7,0.2,0,0
peanut topping mcdonalds,15,2.4,7.3,4
beechnuts dried,15,1.7,6.6,6
breadnut tree seeds raw,0.3,0.089,0.061,0.1
cumin seeds,0.5,0.096,0.3,0.013
pili nuts dried,95.5,37.4,44.7,9.1
hazelnuts roasted,18.7,1.4,14,2.5
lupins cooked,4.8,0.6,2,1.2
hazelnuts blanched,17.3,1.3,13.6,1.6
brazilnuts dried,3.3,0.8,1.2,1
sunflower seeds dry roasted,4,0.4,0.8,2.6
ginkgo nuts canned,2.5,0.5,0.9,0.9
peanuts cooked,39.6,5.5,19.7,12.5
pumpkin squash seeds dried,63.3,11.2,21,27.1
cashew nuts raw,12.4,2.2,6.7,2.2
sunflower seeds dried,23.7,2,8.5,10.6
lotus seeds dried,0.6,0.1,0.1,0.4
butternuts dried,68.4,1.6,12.5,51.3
sesame seeds dried,4.5,0.6,1.7,2
breadfruit seeds,1.7,0.5,0.2,0.9
pinyon pine nuts dried,0.073,0.022,0.044,0.074
pine nuts dried,92.3,6.6,25.3,46
flaxseeds,4.3,0.4,0.8,3
safflower seed kernels dried,10.9,1,1.4,8
pistachio nuts raw,55.8,6.8,29.3,16.9
peanuts raw,71.9,10,35.7,22.7
poppy seeds,3.7,0.4,0.5,2.5
valencia peanuts raw,69.5,10.7,31.3,24.1
spanish peanuts,72.4,11.2,32.6,25.1
dill seeds,1,0.018,0.6,0.041
caraway seeds,1,0.03,0.5,0.2
acorn raw,6.8,0.9,4.3,1.3
almonds roasted,16.6,1.3,10.4,4.1
lotus seeds raw,0.1,0.097,0.011,0.002
chestnuts cooked,0.4,0.016,0.1,0.2
alfalfa seeds,0.075,0.029,0.067,0.057
virginia peanuts roasted,14.6,1.9,7.6,4.4
hazelnuts raw,45.6,3.3,34.2,5.9
anise seeds,0.3,0.06,0.2,0.066
macadamia nuts roasted,22.8,3.6,17.8,0.4
studentenfutter alnatura,7.8,0.9,4.8,2
pumpkin squash seeds roasted,3.9,0.7,1.3,1.6
water chestnut raw,0.1,0.039,0.055,0.089
chestnuts roasted,0.3,0.009,0.1,0.1
ginkgo nuts raw,0.5,0.029,0.2,0.2
almonds raw,0.7,0.04,0.5,0.2
peanuts roasted,15.8,2.6,7.8,4.6
sunflower seeds toasted,76.1,8,14.5,50.3
sisymbrium seeds,3.4,0.7,1.1,1.5
breadnut tree seeds dried,2.7,0.7,0.3,1.4
pecans raw,78.4,6.7,44.5,23.6
chia seeds dried,8.7,0.9,0.7,6.7
japanese chestnuts roasted,0.2,0.08,0.1,0.094
sesame seeds toasted,3.8,0.5,1.5,1.7
cashew nuts roasted,14.3,2.5,7.8,2.6
lupins raw,17.5,2.1,7.1,4.4
mustard seeds ground,0.7,0.012,0.5,0.2
mixed nuts roasted,15.4,2,9.4,3.2
salat mix alestro,5.2,0.9,0.1,0.3
chestnuts raw,3.3,0.6,1.1,1.3
pistachio nuts roasted,13.7,1.7,7.4,4
walnut,3.3,0.3,0.4,2.4
celery seeds,1.6,0.1,1,0.2
hickorynuts dried,77.2,8.4,39.1,26.3
spanish peanuts roasted,72.1,11.1,32.4,25
woca seeds dried,0.3,0.025,0.044,0.059
pecans roasted,22.6,2.2,12.3,7.1
fennel seeds,0.3,0.008,0.2,0.065
chinese chestnuts roasted,0.3,0.027,0.2,0.073
watermelon seed kernels dried,51.2,10.6,8,30.3
macadamia nuts raw,4,0.6,3.1,0.059
pectin,0.2,0.052,0.093,0.076
black walnut dried,3,0.2,0.8,1.8
water chestnut canned,0.015,0.05,0.068,0.053
ginkgo nuts dried,0.6,0.1,0.2,0.2
virginia peanuts raw,71.2,9.3,36.9,21.5
valencia peanuts roasted,15.4,2.4,6.9,5.3
nesfit diet cereal nestle,0,14.5,2.8,0
corn grits cooked,1.2,0.2,0.2,0.4
amaranth flakes,2.7,0.5,0.8,1
granola,14.6,2.4,6.6,4.7
muesli with fruit nuts,3.4,0.5,1.2,1.4
muesli master crumble,2.4,1,19.8,8.5
bran flakes,0.8,0.2,0.1,0.5
nut cereal,5.9,1,3.9,0.5
corn flakes,0.3,0.098,0.071,0.018
corn grits dry,0.2,0.022,0.018,0.032
margarine with yoghurt,9.8,1.9,5.6,2
sunflower seed butter,8.8,0.7,6.2,1.6
hazelnut oil,13.6,1,10.6,1.4
menhaden fish oil,218,66.3,58.2,74.5
cod liver fish oil,13.6,3.1,6.4,3.1
sardine oil,13.6,4.1,4.6,4.3
cupu assu oil,13.6,7.2,5.3,0.5
lard,12.8,5,5.8,1.4
sesame butter,8.1,1.1,3.1,3.6
margarine spread,6.7,1.2,2.3,2.8
lard vegetable oil,12.8,5.2,5.7,1.4
shortening,12.8,3.2,5.7,3.3
vegetable oil spread,8.4,1.7,2.7,3.7
cottonseed oil,13.6,3.5,2.4,7.1
vegetable oil spread fat free,0.5,0.015,0.1,0.3
soy margarine,9.9,3.2,5.2,1.1
margarine with salt,11.3,2.1,5.4,3.4
margarine,11.5,2.2,5.5,3.5
salmon fish oil,13.6,2.7,3.9,5.5
nutmeg butter oil,218,196.2,10.5,0
almond butter,8.9,0.7,5.2,2.2
sour cream shoprite,5,3.5,1,1
ucuhuba butter oil,13.6,11.6,0.9,0.4
chicken fat,12.8,3.8,5.7,2.7
herring fish oil,13.6,2.9,7.7,2.1
bacon grease,4.3,1.7,1.9,0.5
turkey fat,5,1.5,2.1,1.2
beef tallow,12.8,6.4,5.4,0.5
goose fat,5,1.4,2.8,0.6
duck fat,5,1.7,2.5,0.6
mutton tallow,5,2.4,2,0.4
grapeseed oil,13.6,1.3,2.2,9.5
sheanut oil,218,101.6,95.9,11.3
almond oil,13.6,1.1,9.5,2.4
sunflower oil,13.6,1.2,7.8,3.9
cashew butter,7.9,1.6,4.7,1.3
canola oil,14,1,8.9,3.9
babassu oil,218,177,24.9,3.5
teaseed oil,13.6,2.9,7,3.1
avocado oil,14,1.6,9.9,1.9
vegetable palm kernel oil,13.6,11.1,1.6,0.2
coconut oil,13.6,11.2,0.9,0.2
safflower oil,13.6,1,10.2,1.7
vegetable oil,13.6,2.1,3.1,7.8
apricot kernel oil,4.5,0.3,2.7,1.3
peanut oil,13.5,2.3,6.2,4.3
poppyseed oil,13.6,1.8,2.7,8.5
flaxseed oil,13.6,1.2,2.5,9.2
tomatoseed oil,218,42.9,49.7,115.8
wheat germ oil,13.6,2.6,2.1,8.4
sesame oil,4.5,0.6,1.8,1.9
corn granola oil,14,1.1,8.2,4.1
cocoa butter oil,13.6,8.1,4.5,0.4
olive oil,13.5,1.9,9.8,1.4
palm kernel oil,4.5,4,0.3,0
mustard oil,14,1.6,8.3,3
rice bran oil,13.6,2.7,5.3,4.8
vegetable macaroni dry,0.9,0.1,0.1,0.4
chow mein noodles,9.9,1,3,5.9
chinese noodles,0.094,0.088,0.085,0.072
vegetable macaroni cooked,0.1,0.037,0.079,0.011
corn pasta dry,2.2,0.3,0.6,1
egg noodles dry,1.7,0.4,0.5,0.5
whole wheat spaghetti dry,0.4,0.047,0.003,0.2
japanese soba noodles dry,0.2,0.084,0.035,0.094
rice noodles dry,0.2,0.053,0.067,0.09
spinach spaghetti dry,0.4,0.097,0.015,0.2
egg noodles cooked,1.7,0.3,0.5,0.4
japanese somen noodles cooked,0.3,0.006,0.062,0.1
whole wheat macaroni dry,1.5,0.3,0.2,0.6
pasta marinara and ground beef sauce,1.6,0.5,0.7,0.1
macaroni raw,1.6,0.3,0.2,0.6
spaghetti dry,0.4,0.045,0.043,0.2
fusilli cucina,0.4,0.1,20.1,0.8
japanese somen noodles dry,0.2,0,0.013,0.012
pasta cooked,2.4,0.3,0.3,1
macaroni cooked,1.3,0.2,0.2,0.4
spinach egg noodles dry,1.7,0.4,0.5,0.4
japanese soba noodles cooked,0.1,0.026,0.085,0.007
rice noodles cooked,0.4,0.072,0.007,0.021
whole wheat macaroni cooked,0.8,0.1,0.1,0.3
spaghetti cooked,2.1,0.4,0.3,0.7
whole wheat spaghetti cooked,0.8,0.1,0.1,0.3
waffle,10.6,2.1,2.6,5.1
baked taco shell,2.7,0.8,0.8,0.9
puff pastry,94.3,13.5,21.6,54.5
blueberry muffin,9.2,1.6,2.7,4.6
bread crumbs,5.7,1.3,1.1,2.2
warm cinnamon roll mcdonalds,5.1,1.3,2.6,0.8
corn muffin,5.5,0.9,1.4,2.1
tortilla,1.9,0.6,0.4,0.8
croutons seasoned,7.3,2.1,3.8,0.9
buttermilk waffle,3.1,0.8,1.7,0.5
flour tortilla,3.7,0.6,1.9,1.1
glazed donut,3,1.2,0.9,0.5
corn tortilla,0.7,0.1,0.2,0.3
muffin,6.5,1.2,1.6,3.3
croutons,0.5,0.1,0.2,0.1
donut with jelly filling,15.9,4.1,8.7,2
sweet cinnamon rolls,13.6,2.6,4,6.2
oat bran muffin,1.3,0.2,0.3,0.7
french cruller donut,7.5,1.9,4.3,0.9
pancakes,3.7,0.8,0.9,1.7
chocolate donut,11.9,3.1,6.8,1.5
sweet cheese rolls,12.1,4,6,1.3
eclair,19.2,11.5,5.4,1.1
donut with cream filling,20.8,4.6,10.3,2.6
fruit toaster pastry,5.6,1.3,3.3,0.7
donut,10.3,2.7,5.7,1.3
pancakes whole wheat,2.9,0.8,0.8,1.1
keikitos,10.6,0,0,0
zwieback,0.7,0.2,0.3,0.1
chocolate coated donut,4.5,2.4,1.6,0.4
waffle toasted,3.2,0.5,1.6,0.7
cinnamon toaster pastry,7.1,1.8,4,0.9
wheat bran bread,1.2,0.3,0.6,0.2
white bread,1,0.2,0.2,0.5
oat bran bread,1.3,0.2,0.5,0.5
whole wheat bread natures own,1,11,3,2
high protein bread dr zaks,3,0.5,15.3,2.5
wheat bread,1.3,0.2,0.2,0.5
egg bread toasted,2.4,0.6,1.1,0.4
butter toastbrot ja,0.9,0.6,12,0.8
vienna bread toasted,0.6,0.1,0.1,0.2
vienna bread,0.6,0.2,0.1,0.3
protein bread,0.4,0.009,0.091,0.2
banana bread,6,1.3,2.6,1.8
rice bran bread,1.2,0.2,0.4,0.5
white fibre wonder bread,1,0.2,0.2,0.5
focaccia,4.5,0.5,3.2,0.6
oat bran bread toasted,1.3,0.2,0.5,0.5
rye bread,1.1,0.2,0.4,0.3
wheat germ bread,0.8,0.2,0.4,0.2
protein bread toasted,0.4,0.059,0.082,0.2
oatmeal bread,1.2,0.2,0.4,0.5
arepa,5.3,2.8,1.5,1
raisin bread toasted,1.4,0.3,0.7,0.2
cracked wheat bread,1.1,0.3,0.5,0.2
garlic bread,7.1,2.3,2,2.3
rye bread toasted,1,0.2,0.4,0.3
whole wheat bread,2.5,0.4,0.5,1.4
whole wheat bread toasted,2.5,0.4,0.5,1.4
pan dulce bread,7.3,1.4,2.2,1
rice bran bread toasted,1.3,0.2,0.4,0.5
pita bread whole wheat,0.7,0.1,0.053,0.3
wheat germ bread toasted,0.8,0.2,0.4,0.2
pumpernickel bread,0.8,0.1,0.2,0.3
frybread,18.6,7,6.7,1.6
white bread toasted,1.1,0.2,0.2,0.6
piki bread,2,0.2,0.5,0.5
wheat bread toasted,1,0.2,0.2,0.4
pita bread,0.7,0.091,0.038,0.3
potato bread,1,0,0,0
egg bread,2.4,0.6,0.9,0.4
