food,Carbohydrates,Sugars
chicken crispy wings kentucky fried chicken,5.1,0
egg white delight mcdonalds,0,0
french toast sticks burger king,8.7,2.1
mcchicken mcdonalds,36.6,4.7
nachos supreme taco bell,45,0
crispy chicken wing kentucky fried chicken,1.3,0
chicken strips burger king,7.4,0
crispy chicken breast kentucky fried chicken,0.4,0
sausage biscuit mcdonalds,31.8,2.3
sausage burrito mcdonalds,24.2,1.4
onion rings fried,2.8,0.4
onion rings burger king,39.7,4.9
turkey patty fried,4.4,0.053
hotcakes with syrup mcdonalds,101.8,45.5
crispy chicken thigh kentucky fried chicken,0,0
corn dog,21,5.9
chicken box mcdonalds,5.5,0.5
potato wedges kentucky fried chicken,45,0
scrambled eggs mcdonalds,0.9,0.1
egg mcmuffin mcdonalds,27.3,2.7
nachos taco bell,36,0
biscuit large mcdonalds,39.4,2.7
crispy chicken strips kentucky fried chicken,6.4,0
hotcakes mcdonalds,19,4.4
chicken crispy breast kentucky fried chicken,11.9,0
hotcakes sausage mcdonalds,102.4,45.7
chicken mcnuggets mcdonalds,2.4,0.025
chips chipotle,2.1,2.1
biscuit mcdonalds,33.3,2.2
rice bowl with chicken,6.4,1.2
spaghetti with meatballs,22.9,5.8
meat ravioli canned,36,6.3
cheese ravioli canned,33,9
premium crispy chicken ranch blt sandwich mcdonalds,59.8,13.3
steak sandwich,52,0
cheeseburger burger king,31.5,6
cheeseburger mcdonalds,33.1,7.4
double cheeseburger,41,9.5
double hamburger,51.4,13.2
premium grilled chicken classic sandwich mcdonalds,44.6,10
big n tasty with cheese mcdonalds,39.7,9.5
premium grilled chicken club sandwich mcdonalds,44.3,6.4
quarter pounder mcdonalds,37.9,8.8
premium crispy chicken classic sandwich mcdonalds,58.6,12.4
veggie burger,10,0.7
quarter pounder with cheese mcdonalds,39.7,9.8
beef sandwich steak raw,0,0
cheeseburger,28.7,5.9
premium grilled chicken ranch blt sandwich mcdonalds,44.3,10.5
double whopper with cheese burger king,53.9,14.4
big mac mcdonalds,44,8.7
sandwich with cold cuts,79.9,12.4
filet o fish mcdonalds,35.4,4.9
hand breaded chicken tenders carls jr,0.2,0
grilled chicken sandwich wendys,0,0
sandwich with roast beef,44.3,0
hamburger burger king,26.5,5.5
big n tasty mcdonalds,38.5,8.8
roast beef sandwich,33.1,5.7
roast beef sandwich with cheese,45.4,0
hamburger,28.7,5.8
premium fish sandwich burger king,58.7,7.8
whopper burger king,52.8,13
sandwich with tuna salad,55.4,0
original chicken sandwich burger king,52.2,6
double whopper burger king,51.4,13.2
premium crispy chicken club sandwich mcdonalds,57.4,12.7
hamburger mcdonalds,28.8,5.7
pepperoni pizza dominos,36,4.2
sausage pizza,35.5,3.9
pepperoni pizza,35.5,3.6
pepperoni pizza pizza hut,30.3,3.5
cheese pizza pizza hut,30,3.2
cheese pizza,35.7,3.8
cheese pizza dominos,35.9,4.3
meat vegetable pizza,34.5,5.1
sucker raw,0,0
northern pike raw,0,0
haddock cooked,0,0
burbot cooked,0,0
pollock cooked,0,0
rainbow smelt raw,0,0
whitefish cooked,0,0
walleye pike raw,0,0
carp cooked,0,0
wolffish cooked,0,0
snapper cooked,0,0
roe cooked,0.5,0
anchovy raw,0,0
herring raw,0,0
cod raw,0,0
tilapia raw,0,0
whiting cooked,0,0
skipjack tuna cooked,0,0
salmon cooked,0,0
chum salmon cooked,0,0
american shad cooked,0,0
shark cooked,1.8,0
trout cooked,0,0
swordfish raw,0,0
rainbow trout cooked,0,0
fish sandwich with cheese,35.4,4.9
jellyfish dried,0,0
mullet raw,0,0
halibut cooked,0,0
lingcod raw,0,0
orange roughy cooked,0,0
cisco raw,0,0
florida pompano cooked,0,0
snapper raw,0,0
fish sandwich,58.7,7.8
haddock raw,0,0
ocean perch raw,0,0
cuttlefish cooked,0.5,0
cod cooked,0,0
seatrout raw,0,0
flounder raw,0,0
spot cooked,0,0
walleye pike cooked,0,0
perch raw,0,0
pumpkin seed sunfish raw,0,0
salt mackerel,0,0
mackerel cooked,0,0
tilapia cooked,0,0
drum raw,0,0
atlantic croaker fried,6.6,0
pumpkin seed sunfish cooked,0,0
wolffish raw,0,0
bluefin tuna cooked,0,0
scup cooked,0,0
herring cooked,0,0
bluefish raw,0,0
sheepshead cooked,0,0
bass cooked,0,0
pout cooked,0,0
chinook salmon raw,0,0
rockfish raw,0,0
tilefish raw,0,0
scup raw,0,0
sablefish cooked,0,0
tuna salad,19.3,0
coho salmon cooked,0,0
roe raw,0.2,0
sea bass raw,0,0
pink salmon cooked,0,0
sockeye salmon cooked,0,0
whitefish raw,0,0
greenland halibut cooked,0,0
northern pike cooked,0,0
salmon raw,0,0
turbot cooked,0,0
surimi,1.9,0
chinook salmon cooked,0,0
mullet cooked,0,0
chum salmon raw,0,0
butterfish raw,0,0
sea bass cooked,0,0
greenland halibut raw,0,0
halibut raw,0,0
sturgeon cooked,0,0
fish fillet fried,15.4,0
rainbow trout raw,0,0
pout raw,0,0
rainbow smelt cooked,0,0
monkfish raw,0,0
trout raw,0,0
shark raw,0,0
burbot raw,0,0
dolphinfish cooked,0,0
crayfish cooked,0,0
dolphinfish raw,0,0
perch cooked,0,0
cusk raw,0,0
bluefin tuna raw,0,0
milkfish cooked,0,0
carp raw,0,0
sturgeon raw,0,0
orange roughy raw,0,0
catfish fried,7,0
cuttlefish raw,0.2,0
bass raw,0,0
flounder cooked,0,0
milkfish raw,0,0
eel raw,0,0
catfish raw,0,0
fish sticks,6.1,0.5
coho salmon raw,0,0
monkfish cooked,0,0
yellowtail cooked,0,0
yellowfin tuna cooked,0,0
ling cooked,0,0
eel cooked,0,0
sablefish raw,0,0
salmon nuggets,4,0
yellowtail raw,0,0
butterfish cooked,0,0
caviar,0.6,0
pollock raw,0,0
catfish cooked,0,0
whiting raw,0,0
pink salmon raw,0,0
yellowfin tuna raw,0,0
mackerel raw,0,0
turbot raw,0,0
cusk cooked,0,0
atlantic croaker raw,0,0
sucker cooked,0,0
spot raw,0,0
drum cooked,0,0
crayfish raw,0,0
tilefish cooked,0,0
bluefish cooked,0,0
grouper cooked,0,0
sheepshead raw,0,0
herring kippered,0,0
grouper raw,0,0
ocean perch cooked,0,0
ling raw,0,0
lingcod cooked,0,0
florida pompano raw,0,0
rockfish cooked,0,0
seatrout cooked,0,0
sockeye salmon raw,0,0
swordfish cooked,0,0
american shad raw,0,0
sardine canned in oil,0,0
anchovy canned in oil,0,0
salmon canned,0,0
sardines in tomato sauce canned,0.5,0.4
sockeye salmon canned,0,0
tuna canned,0,0
pink salmon canned,0,0
cod canned,0,0
eastern oyster canned,6.3,0
chum salmon canned,0,0
tuna canned in oil,0,0
wild pink salmon oceans,0,0
shrimp canned,0,0
alaska king crab raw,0,0
scallops fried,6.4,0
shrimp cooked,0.013,0
clams fried,1,0
alaska king crab cooked,0,0
scallops cooked,0.5,0
squid fried,6.2,0
oyster raw,2.5,0
abalone,5.1,0
queen crab raw,0,0
whelk cooked,4.4,0
